Date,Buoy,Chl
2016-08-09,CTD5,0.12
2016-08-25,CTD5,1.06
2016-08-30,CTD5,0.44
2016-09-06,CTD5,
2016-09-08,CTD5,0.04
2016-09-22,CTD5,0.97
2016-09-29,CTD5,3.39
2016-10-06,CTD5,1.83
2016-10-14,CTD5,1.45
2016-10-21,CTD5,0.45
2016-10-28,CTD5,1.62
2016-11-03,CTD5,0.57
2016-11-11,CTD5,0.45
2016-11-18,CTD5,3.48
2016-11-22,CTD5,0.49
2016-12-02,CTD5,2.57
2016-12-13,CTD5,0.73
2016-12-21,CTD5,5.05
2017-01-12,CTD5,10.12
2017-01-26,CTD5,2.68
2017-02-03,CTD5,1.05
2017-02-10,CTD5,2.23
2017-02-16,CTD5,5.5
2017-02-24,CTD5,0.79
2017-03-02,CTD5,0.57
2017-03-22,CTD1,2.932
2017-03-22,CTD10,3.153
2017-03-22,CTD11,2.643
2017-03-22,CTD12,2.347
2017-03-22,CTD2,2.142
2017-03-22,CTD3,1.942
2017-03-22,CTD4,1.72
2017-03-22,CTD5,0.43
2017-03-22,CTD6,2.113
2017-03-22,CTD7,3.009
2017-03-22,CTD8,3.282
2017-03-22,CTD9,4.166
2017-03-30,CTD1,5.032
2017-03-30,CTD10,4.248
2017-03-30,CTD11,6.51
2017-03-30,CTD12,4.729
2017-03-30,CTD2,2.037
2017-03-30,CTD3,2.127
2017-03-30,CTD4,3.04
2017-03-30,CTD5,0.44
2017-03-30,CTD6,3.573
2017-03-30,CTD7,2.957
2017-03-30,CTD8,3.656
2017-03-30,CTD9,3.301
2017-04-05,CTD1,3.518
2017-04-05,CTD10,1.721
2017-04-05,CTD11,1.231
2017-04-05,CTD12,1.841
2017-04-05,CTD2,2.867
2017-04-05,CTD3,1.536
2017-04-05,CTD4,1.993
2017-04-05,CTD5,0.22
2017-04-05,CTD6,1.819
2017-04-05,CTD7,4.429
2017-04-05,CTD8,2.265
2017-04-05,CTD9,1.534
2017-04-12,CTD1,8.187
2017-04-12,CTD10,2.177
2017-04-12,CTD11,1.269
2017-04-12,CTD12,3.046
2017-04-12,CTD2,2.943
2017-04-12,CTD3,1.839
2017-04-12,CTD4,1.349
2017-04-12,CTD5,1.02
2017-04-12,CTD6,2.746
2017-04-12,CTD7,2.924
2017-04-12,CTD8,3.703
2017-04-12,CTD9,2.197
2017-04-18,CTD5,
2017-04-25,CTD1,1.578
2017-04-25,CTD10,1.523
2017-04-25,CTD11,1.507
2017-04-25,CTD12,1.315
2017-04-25,CTD2,1.747
2017-04-25,CTD3,1.704
2017-04-25,CTD4,2.297
2017-04-25,CTD5,1.16
2017-04-25,CTD6,1.453
2017-04-25,CTD7,2.6
2017-04-25,CTD8,2.39
2017-04-25,CTD9,3.754
