Date,Buoy,Chl
2016-08-09,CTD5,0.12
2016-08-25,CTD5,1.06
2016-08-30,CTD5,0.44
2016-09-06,CTD5,
2016-09-08,CTD5,0.04
2016-09-22,CTD5,0.97
2016-09-29,CTD5,3.39
2016-10-06,CTD5,1.83
2016-10-14,CTD5,1.45
2016-10-21,CTD5,0.45
2016-10-28,CTD5,1.62
2016-11-03,CTD5,0.57
2016-11-11,CTD5,0.45
2016-11-18,CTD5,3.48
2016-11-22,CTD5,0.49
2016-12-02,CTD5,2.57
2016-12-13,CTD5,0.73
2016-12-21,CTD5,5.05
2017-01-12,CTD5,10.12
2017-01-26,CTD5,2.68
2017-02-03,CTD5,1.05
2017-02-10,CTD5,2.23
2017-02-16,CTD5,5.5
2017-02-24,CTD5,0.79
2017-03-02,CTD5,0.57
2017-03-22,CTD1,2.145
2017-03-22,CTD10,3.221
2017-03-22,CTD11,1.391
2017-03-22,CTD12,3.019
2017-03-22,CTD2,2.098
2017-03-22,CTD3,1.881
2017-03-22,CTD4,1.916
2017-03-22,CTD5,0.43
2017-03-22,CTD6,2.372
2017-03-22,CTD7,3.423
2017-03-22,CTD8,3.39
2017-03-22,CTD9,4.166
2017-03-30,CTD1,3.539
2017-03-30,CTD10,2.896
2017-03-30,CTD11,1.173
2017-03-30,CTD12,2.441
2017-03-30,CTD2,2.147
2017-03-30,CTD3,1.475
2017-03-30,CTD4,1.315
2017-03-30,CTD5,0.44
2017-03-30,CTD6,2.108
2017-03-30,CTD7,3.947
2017-03-30,CTD8,2.995
2017-03-30,CTD9,3.301
2017-04-05,CTD1,1.549
2017-04-05,CTD10,3.02
2017-04-05,CTD11,0.697
2017-04-05,CTD12,2.111
2017-04-05,CTD2,1.614
2017-04-05,CTD3,1.499
2017-04-05,CTD4,1.329
2017-04-05,CTD5,0.22
2017-04-05,CTD6,2.212
2017-04-05,CTD7,5.084
2017-04-05,CTD8,2.461
2017-04-05,CTD9,1.534
2017-04-12,CTD1,5.839
2017-04-12,CTD10,2.837
2017-04-12,CTD11,1.114
2017-04-12,CTD12,2.706
2017-04-12,CTD2,1.792
2017-04-12,CTD3,1.783
2017-04-12,CTD4,1.976
2017-04-12,CTD5,1.02
2017-04-12,CTD6,2.53
2017-04-12,CTD7,2.988
2017-04-12,CTD8,2.127
2017-04-12,CTD9,2.197
2017-04-18,CTD5,
2017-04-25,CTD1,1.5
2017-04-25,CTD10,1.422
2017-04-25,CTD11,1.364
2017-04-25,CTD12,1.927
2017-04-25,CTD2,1.978
2017-04-25,CTD3,1.617
2017-04-25,CTD4,1.473
2017-04-25,CTD5,1.16
2017-04-25,CTD6,1.928
2017-04-25,CTD7,2.491
2017-04-25,CTD8,3.006
2017-04-25,CTD9,3.754
