Date,Buoy,Chl
2017-05-19,CTD1,0.883
2017-05-19,CTD10,0.837
2017-05-19,CTD11,0.899
2017-05-19,CTD12,0.875
2017-05-19,CTD2,1.445
2017-05-19,CTD3,1.558
2017-05-19,CTD4,1.3
2017-05-19,CTD6,0.902
2017-05-19,CTD7,0.771
2017-05-19,CTD8,1.163
2017-05-24,CTD1,0.882
2017-05-24,CTD10,0.57
2017-05-24,CTD11,0.587
2017-05-24,CTD12,1.154
2017-05-24,CTD2,1.796
2017-05-24,CTD3,1.514
2017-05-24,CTD4,0.692
2017-05-24,CTD6,0.941
2017-05-24,CTD7,1.659
2017-05-24,CTD8,2.547
2017-06-02,CTD1,1.688
2017-06-02,CTD10,2.037
2017-06-02,CTD11,0.959
2017-06-02,CTD12,1.619
2017-06-02,CTD2,2.913
2017-06-02,CTD3,2.041
2017-06-02,CTD4,0.938
2017-06-02,CTD6,1.51
2017-06-02,CTD7,1.938
2017-06-02,CTD8,1.839
2017-06-06,CTD1,0.973
2017-06-06,CTD10,1.865
2017-06-06,CTD11,2.209
2017-06-06,CTD12,1.265
2017-06-06,CTD2,2.854
2017-06-06,CTD3,1.212
2017-06-06,CTD4,0.938
2017-06-06,CTD6,0.961
2017-06-06,CTD7,1.556
2017-06-06,CTD8,2.297
2017-06-13,CTD1,1.237
2017-06-13,CTD10,1.837
2017-06-13,CTD11,0.866
2017-06-13,CTD12,1.536
2017-06-13,CTD2,1.635
2017-06-13,CTD3,1.744
2017-06-13,CTD4,1.175
2017-06-13,CTD6,0.899
2017-06-13,CTD7,2.094
2017-06-13,CTD8,1.398
2017-06-21,CTD1,1.428
2017-06-21,CTD10,0.763
2017-06-21,CTD11,1.034
2017-06-21,CTD12,1.017
2017-06-21,CTD2,1.492
2017-06-21,CTD3,1.529
2017-06-21,CTD4,2.066
2017-06-21,CTD6,0.863
2017-06-21,CTD7,1.082
2017-06-21,CTD8,1.14
2017-06-30,CTD1,0.992
2017-06-30,CTD10,0.8
2017-06-30,CTD11,1.123
2017-06-30,CTD12,1.418
2017-06-30,CTD2,1.196
2017-06-30,CTD3,1.523
2017-06-30,CTD4,1.54
2017-06-30,CTD6,1.775
2017-06-30,CTD7,2.621
2017-06-30,CTD8,1.273
2017-07-05,CTD1,1.332
2017-07-05,CTD10,1.175
2017-07-05,CTD11,1.093
2017-07-05,CTD12,1.634
2017-07-05,CTD2,2.811
2017-07-05,CTD3,1.81
2017-07-05,CTD4,1.187
2017-07-05,CTD6,1.514
2017-07-05,CTD7,2.5
2017-07-05,CTD8,1.256
2017-07-12,CTD1,0.78
2017-07-12,CTD10,2.492
2017-07-12,CTD11,5.819
2017-07-12,CTD12,2.16
2017-07-12,CTD2,1.88
2017-07-12,CTD3,1.975
2017-07-12,CTD4,1.979
2017-07-12,CTD6,2.379
2017-07-12,CTD7,2.591
2017-07-12,CTD8,2.253
2017-07-19,CTD1,1.506
2017-07-19,CTD10,1.515
2017-07-19,CTD11,2.698
2017-07-19,CTD12,1.277
2017-07-19,CTD2,2.489
2017-07-19,CTD3,1.952
2017-07-19,CTD4,1.178
2017-07-19,CTD6,1.893
2017-07-19,CTD7,2.534
2017-07-19,CTD8,1.586
2017-07-26,CTD1,0.605
2017-07-26,CTD10,1.089
2017-07-26,CTD11,2.477
2017-07-26,CTD12,2.141
2017-07-26,CTD2,2.096
2017-07-26,CTD3,1.394
2017-07-26,CTD4,1.513
2017-07-26,CTD6,2.583
2017-07-26,CTD7,4.828
2017-07-26,CTD8,1.67
2017-08-30,CTD1,4.669
2017-08-30,CTD10,6.175
2017-08-30,CTD11,5.991
2017-08-30,CTD12,5.944
2017-08-30,CTD2,5.263
2017-08-30,CTD3,5.44
2017-08-30,CTD4,5.165
2017-08-30,CTD6,5.565
2017-08-30,CTD7,5.423
2017-08-30,CTD8,5.483
2017-09-06,CTD1,4.697
2017-09-06,CTD10,7.023
2017-09-06,CTD11,6.861
2017-09-06,CTD12,7.046
2017-09-06,CTD2,6.728
2017-09-06,CTD3,6.13
2017-09-06,CTD4,6.052
2017-09-06,CTD6,6.737
2017-09-06,CTD7,6.223
2017-09-06,CTD8,5.839
2017-09-11,CTD1,2.157
2017-09-11,CTD10,5.711
2017-09-11,CTD11,5.59
2017-09-11,CTD12,6.304
2017-09-11,CTD2,4.873
2017-09-11,CTD3,4.561
2017-09-11,CTD4,3.648
2017-09-11,CTD6,6.105
2017-09-11,CTD7,4.537
2017-09-11,CTD8,5.735
2017-09-27,CTD1,5.675
2017-09-27,CTD10,6.465
2017-09-27,CTD11,6.225
2017-09-27,CTD12,5.863
2017-09-27,CTD2,6.189
2017-09-27,CTD3,5.66
2017-09-27,CTD4,3.014
2017-09-27,CTD6,4.951
2017-09-27,CTD7,4.439
2017-09-27,CTD8,5.282
2017-10-04,CTD1,4.364
2017-10-04,CTD10,2.669
2017-10-04,CTD11,4.053
2017-10-04,CTD12,4.726
2017-10-04,CTD2,5.406
2017-10-04,CTD3,5.578
2017-10-04,CTD4,4.3
2017-10-04,CTD6,4.896
2017-10-04,CTD7,5.386
2017-10-04,CTD8,4.566
2017-10-11,CTD1,5.019
2017-10-11,CTD10,5.102
2017-10-11,CTD11,5.227
2017-10-11,CTD12,4.993
2017-10-11,CTD2,5.292
2017-10-11,CTD3,4.683
2017-10-11,CTD4,3.131
2017-10-11,CTD6,5.475
2017-10-11,CTD7,3.165
2017-10-11,CTD8,3.864
2017-10-17,CTD1,5.897
2017-10-17,CTD10,3.012
2017-10-17,CTD11,4.566
2017-10-17,CTD12,4.974
2017-10-17,CTD2,7.077
2017-10-17,CTD3,6.446
2017-10-17,CTD4,4.919
2017-10-17,CTD6,5.611
2017-10-17,CTD7,5.83
2017-10-17,CTD8,4.582
2017-10-25,CTD1,1.878
2017-10-25,CTD10,4.333
2017-10-25,CTD11,5.441
2017-10-25,CTD12,5.479
2017-10-25,CTD2,5.404
2017-10-25,CTD3,5.23
2017-10-25,CTD4,3.299
2017-10-25,CTD6,5.801
2017-10-25,CTD7,5.823
2017-10-25,CTD8,5.163
2017-11-03,CTD1,4.409
2017-11-03,CTD10,5.84
2017-11-03,CTD11,6.038
2017-11-03,CTD12,6.437
2017-11-03,CTD2,7.399
2017-11-03,CTD3,7.14
2017-11-03,CTD4,7.609
2017-11-03,CTD6,7.687
2017-11-03,CTD7,3.97
2017-11-03,CTD8,6.542
2017-11-08,CTD1,4.199
2017-11-08,CTD10,4.827
2017-11-08,CTD11,5.931
2017-11-08,CTD12,6.179
2017-11-08,CTD2,7.394
2017-11-08,CTD3,5.843
2017-11-08,CTD4,5.168
2017-11-08,CTD6,6.623
2017-11-08,CTD7,5.151
2017-11-08,CTD8,5.933
2017-11-15,CTD1,4.965
2017-11-15,CTD10,6.192
2017-11-15,CTD11,5.138
2017-11-15,CTD12,5.983
2017-11-15,CTD2,5.846
2017-11-15,CTD3,5.701
2017-11-15,CTD4,4.592
2017-11-15,CTD6,5.722
2017-11-15,CTD7,5.198
2017-11-15,CTD8,4.786
2017-11-22,CTD1,1.633
2017-11-22,CTD10,2.961
2017-11-22,CTD11,2.657
2017-11-22,CTD12,2.842
2017-11-22,CTD2,3.91
2017-11-22,CTD3,3.528
2017-11-22,CTD4,2.363
2017-11-22,CTD6,3.097
2017-11-22,CTD7,3.993
2017-11-22,CTD8,3.403
2017-11-28,CTD1,2.428
2017-11-28,CTD10,3.341
2017-11-28,CTD11,3.058
2017-11-28,CTD12,3.587
2017-11-28,CTD2,3.617
2017-11-28,CTD3,3.652
2017-11-28,CTD4,2.918
2017-11-28,CTD6,3.362
2017-11-28,CTD7,3.274
2017-11-28,CTD8,3.276
2017-12-05,CTD1,1.319
2017-12-05,CTD10,2.912
2017-12-05,CTD11,3.307
2017-12-05,CTD12,2.925
2017-12-05,CTD2,3.241
2017-12-05,CTD3,2.569
2017-12-05,CTD4,1.941
2017-12-05,CTD6,2.916
2017-12-05,CTD7,2.198
2017-12-05,CTD8,2.35
2017-12-13,CTD1,1.903
2017-12-13,CTD10,2.179
2017-12-13,CTD11,2.332
2017-12-13,CTD12,1.967
2017-12-13,CTD2,3.08
2017-12-13,CTD3,3.619
2017-12-13,CTD4,3.036
2017-12-13,CTD6,2.834
2017-12-13,CTD7,2.661
2017-12-13,CTD8,2.022
2017-12-18,CTD1,2.568
2017-12-18,CTD10,2.12
2017-12-18,CTD11,1.861
2017-12-18,CTD12,2.231
2017-12-18,CTD2,3.594
2017-12-18,CTD3,3.506
2017-12-18,CTD4,3.09
2017-12-18,CTD6,2.144
2017-12-18,CTD7,2.304
2017-12-18,CTD8,1.871
