Date,Buoy,Chl
2017-05-19,CTD1,0.547
2017-05-19,CTD10,0.496
2017-05-19,CTD11,0.484
2017-05-19,CTD12,0.544
2017-05-19,CTD2,1.093
2017-05-19,CTD3,0.802
2017-05-19,CTD4,0.699
2017-05-19,CTD6,0.584
2017-05-19,CTD7,0.475
2017-05-19,CTD8,0.595
2017-05-24,CTD1,0.563
2017-05-24,CTD10,0.401
2017-05-24,CTD11,0.338
2017-05-24,CTD12,0.476
2017-05-24,CTD2,0.823
2017-05-24,CTD3,0.888
2017-05-24,CTD4,0.345
2017-05-24,CTD6,0.567
2017-05-24,CTD7,0.999
2017-05-24,CTD8,0.65
2017-06-02,CTD1,1.045
2017-06-02,CTD10,1.082
2017-06-02,CTD11,0.665
2017-06-02,CTD12,0.944
2017-06-02,CTD2,1.871
2017-06-02,CTD3,0.787
2017-06-02,CTD4,0.473
2017-06-02,CTD6,0.925
2017-06-02,CTD7,1.059
2017-06-02,CTD8,0.929
2017-06-06,CTD1,0.501
2017-06-06,CTD10,1.155
2017-06-06,CTD11,1.094
2017-06-06,CTD12,0.66
2017-06-06,CTD2,1.607
2017-06-06,CTD3,0.552
2017-06-06,CTD4,0.596
2017-06-06,CTD6,0.568
2017-06-06,CTD7,0.681
2017-06-06,CTD8,1.008
2017-06-13,CTD1,0.724
2017-06-13,CTD10,1.152
2017-06-13,CTD11,0.484
2017-06-13,CTD12,0.913
2017-06-13,CTD2,0.979
2017-06-13,CTD3,1.135
2017-06-13,CTD4,0.685
2017-06-13,CTD6,0.513
2017-06-13,CTD7,1.206
2017-06-13,CTD8,0.757
2017-06-21,CTD1,0.991
2017-06-21,CTD10,0.334
2017-06-21,CTD11,0.504
2017-06-21,CTD12,0.67
2017-06-21,CTD2,0.929
2017-06-21,CTD3,0.844
2017-06-21,CTD4,1.179
2017-06-21,CTD6,0.529
2017-06-21,CTD7,0.473
2017-06-21,CTD8,0.592
2017-06-30,CTD1,0.823
2017-06-30,CTD10,0.616
2017-06-30,CTD11,0.759
2017-06-30,CTD12,0.802
2017-06-30,CTD2,0.614
2017-06-30,CTD3,0.849
2017-06-30,CTD4,0.827
2017-06-30,CTD6,0.81
2017-06-30,CTD7,1.49
2017-06-30,CTD8,0.706
2017-07-05,CTD1,0.463
2017-07-05,CTD10,0.744
2017-07-05,CTD11,0.835
2017-07-05,CTD12,1.079
2017-07-05,CTD2,1.843
2017-07-05,CTD3,1.159
2017-07-05,CTD4,0.83
2017-07-05,CTD6,1.039
2017-07-05,CTD7,1.778
2017-07-05,CTD8,0.827
2017-07-12,CTD1,0.54
2017-07-12,CTD10,1.963
2017-07-12,CTD11,2.988
2017-07-12,CTD12,1.498
2017-07-12,CTD2,1.24
2017-07-12,CTD3,1.26
2017-07-12,CTD4,0.748
2017-07-12,CTD6,1.543
2017-07-12,CTD7,1.419
2017-07-12,CTD8,1.381
2017-07-19,CTD1,1.019
2017-07-19,CTD10,1.355
2017-07-19,CTD11,1.898
2017-07-19,CTD12,0.706
2017-07-19,CTD2,2.036
2017-07-19,CTD3,1.333
2017-07-19,CTD4,0.67
2017-07-19,CTD6,1.344
2017-07-19,CTD7,1.29
2017-07-19,CTD8,0.812
2017-07-26,CTD1,0.492
2017-07-26,CTD10,0.68
2017-07-26,CTD11,1.101
2017-07-26,CTD12,1.456
2017-07-26,CTD2,1.032
2017-07-26,CTD3,0.93
2017-07-26,CTD4,0.924
2017-07-26,CTD6,1.61
2017-07-26,CTD7,2.896
2017-07-26,CTD8,1.283
2017-08-30,CTD1,3.65
2017-08-30,CTD10,5.136
2017-08-30,CTD11,5.126
2017-08-30,CTD12,5.075
2017-08-30,CTD2,4.504
2017-08-30,CTD3,4.348
2017-08-30,CTD4,4.283
2017-08-30,CTD6,4.259
2017-08-30,CTD7,3.044
2017-08-30,CTD8,4.036
2017-09-06,CTD1,2.458
2017-09-06,CTD10,3.225
2017-09-06,CTD11,3.576
2017-09-06,CTD12,3.707
2017-09-06,CTD2,2.992
2017-09-06,CTD3,1.99
2017-09-06,CTD4,2.34
2017-09-06,CTD6,4.853
2017-09-06,CTD7,2.37
2017-09-06,CTD8,1.813
2017-09-11,CTD1,1.598
2017-09-11,CTD10,3.309
2017-09-11,CTD11,3.989
2017-09-11,CTD12,4.78
2017-09-11,CTD2,2.234
2017-09-11,CTD3,2.029
2017-09-11,CTD4,1.498
2017-09-11,CTD6,4.269
2017-09-11,CTD7,2.034
2017-09-11,CTD8,3.383
2017-09-27,CTD1,4.415
2017-09-27,CTD10,4.85
2017-09-27,CTD11,3.978
2017-09-27,CTD12,4.346
2017-09-27,CTD2,4.517
2017-09-27,CTD3,3.16
2017-09-27,CTD4,1.984
2017-09-27,CTD6,2.995
2017-09-27,CTD7,2.511
2017-09-27,CTD8,2.836
2017-10-04,CTD1,3.216
2017-10-04,CTD10,1.217
2017-10-04,CTD11,2.421
2017-10-04,CTD12,2.828
2017-10-04,CTD2,3.772
2017-10-04,CTD3,3.878
2017-10-04,CTD4,2.116
2017-10-04,CTD6,2.569
2017-10-04,CTD7,2.556
2017-10-04,CTD8,2.415
2017-10-11,CTD1,3.785
2017-10-11,CTD10,4.14
2017-10-11,CTD11,3.739
2017-10-11,CTD12,3.73
2017-10-11,CTD2,3.814
2017-10-11,CTD3,3.331
2017-10-11,CTD4,1.963
2017-10-11,CTD6,2.742
2017-10-11,CTD7,2.188
2017-10-11,CTD8,3.021
2017-10-17,CTD1,4.48
2017-10-17,CTD10,1.669
2017-10-17,CTD11,3.291
2017-10-17,CTD12,2.883
2017-10-17,CTD2,5.378
2017-10-17,CTD3,4.882
2017-10-17,CTD4,3.232
2017-10-17,CTD6,3.507
2017-10-17,CTD7,3.212
2017-10-17,CTD8,2.469
2017-10-25,CTD1,0.949
2017-10-25,CTD10,2.13
2017-10-25,CTD11,2.701
2017-10-25,CTD12,3.427
2017-10-25,CTD2,3.572
2017-10-25,CTD3,3.393
2017-10-25,CTD4,1.318
2017-10-25,CTD6,2.837
2017-10-25,CTD7,2.786
2017-10-25,CTD8,3.146
