Date,Buoy,Chl
2016-06-08,CTD8,12.62
2016-06-29,CTD4,11.35
2016-08-02,CTD1,11.78
2016-08-02,CTD10,12.56
2016-08-02,CTD11,13.65
2016-08-02,CTD12,15.61
2016-08-02,CTD2,15.42
2016-08-02,CTD3,13.93
2016-08-02,CTD4,12.46
2016-08-02,CTD6,17.75
2016-08-02,CTD7,16.4
2016-08-02,CTD8,14.34
2016-08-02,CTD9,
2016-08-04,CTD1,13.15
2016-08-04,CTD10,14.43
2016-08-04,CTD11,9.98
2016-08-04,CTD12,16.59
2016-08-04,CTD2,10.63
2016-08-04,CTD3,10.87
2016-08-04,CTD4,7.03
2016-08-04,CTD6,11.27
2016-08-04,CTD7,9.83
2016-08-04,CTD8,12.51
2016-08-04,CTD9,
2016-08-09,CTD1,11.46
2016-08-09,CTD10,9.75
2016-08-09,CTD11,8.69
2016-08-09,CTD12,8.52
2016-08-09,CTD2,12.21
2016-08-09,CTD3,11.75
2016-08-09,CTD4,7.58
2016-08-09,CTD5,0.36
2016-08-09,CTD6,9.52
2016-08-09,CTD7,10.94
2016-08-09,CTD8,12.84
2016-08-09,CTD9,
2016-08-22,CTD12,12.403
2016-08-25,CTD1,13.43
2016-08-25,CTD10,17.46
2016-08-25,CTD11,10.34
2016-08-25,CTD2,14.99
2016-08-25,CTD3,12.9
2016-08-25,CTD4,
2016-08-25,CTD5,0.6
2016-08-25,CTD6,10.42
2016-08-25,CTD7,10.54
2016-08-25,CTD8,10.42
2016-08-25,CTD9,
2016-08-26,CTD4,
2016-08-27,CTD4,11.11
2016-08-30,CTD1,
2016-08-30,CTD10,11.92
2016-08-30,CTD11,7.72
2016-08-30,CTD2,13.85
2016-08-30,CTD3,15.48
2016-08-30,CTD4,12.24
2016-08-30,CTD5,2.4
2016-08-30,CTD6,11.48
2016-08-30,CTD7,13.66
2016-08-30,CTD8,12.75
2016-08-30,CTD9,
2016-08-31,CTD1,
2016-09-01,CTD1,15.61
2016-09-06,CTD1,17.74
2016-09-06,CTD10,15.3
2016-09-06,CTD11,15.54
2016-09-06,CTD12,
2016-09-06,CTD2,14.72
2016-09-06,CTD3,15.77
2016-09-06,CTD4,10.1
2016-09-06,CTD5,1.52
2016-09-06,CTD6,15.23
2016-09-06,CTD7,13.57
2016-09-06,CTD8,11.94
2016-09-06,CTD9,
2016-09-08,CTD1,18.69
2016-09-08,CTD10,15.06
2016-09-08,CTD11,11.3
2016-09-08,CTD12,11.52
2016-09-08,CTD2,13.22
2016-09-08,CTD3,13.57
2016-09-08,CTD4,12.38
2016-09-08,CTD5,1.6
2016-09-08,CTD6,12.32
2016-09-08,CTD7,13.91
2016-09-08,CTD9,
2016-09-22,CTD1,17.92
2016-09-22,CTD10,14.82
2016-09-22,CTD11,13.765
2016-09-22,CTD2,14.13
2016-09-22,CTD3,12.66
2016-09-22,CTD4,11.387
2016-09-22,CTD5,0.97
2016-09-22,CTD6,12.695
2016-09-22,CTD7,13.95
2016-09-22,CTD8,12.645
2016-09-22,CTD9,
2016-09-29,CTD1,10.85
2016-09-29,CTD10,8.185
2016-09-29,CTD11,10.93
2016-09-29,CTD12,10.885
2016-09-29,CTD2,11.94
2016-09-29,CTD3,13.137
2016-09-29,CTD5,1.26
2016-09-29,CTD6,9.973
2016-09-29,CTD7,10.8
2016-09-29,CTD8,10.34
2016-09-29,CTD9,
2016-10-06,CTD1,16.04
2016-10-06,CTD10,10.82
2016-10-06,CTD11,12.58
2016-10-06,CTD12,12.115
2016-10-06,CTD2,16.89
2016-10-06,CTD3,15.023
2016-10-06,CTD4,11.673
2016-10-06,CTD5,0.93
2016-10-06,CTD6,15.087
2016-10-06,CTD7,15.64
2016-10-06,CTD8,11.58
2016-10-06,CTD9,
2016-10-14,CTD1,23.46
2016-10-14,CTD10,18.96
2016-10-14,CTD11,21.453
2016-10-14,CTD12,19.3
2016-10-14,CTD2,20.923
2016-10-14,CTD3,19.54
2016-10-14,CTD4,16.29
2016-10-14,CTD5,8.383
2016-10-14,CTD6,21.272
2016-10-14,CTD7,17.28
2016-10-14,CTD8,21.697
2016-10-14,CTD9,
2016-10-21,CTD1,11.99
2016-10-21,CTD10,21.903
2016-10-21,CTD11,11.247
2016-10-21,CTD12,19.13
2016-10-21,CTD2,16.2
2016-10-21,CTD3,16.693
2016-10-21,CTD4,9.643
2016-10-21,CTD5,5.15
2016-10-21,CTD6,16.402
2016-10-21,CTD7,17.833
2016-10-21,CTD8,16.717
2016-10-21,CTD9,
2016-10-28,CTD1,9.22
2016-10-28,CTD10,14.563
2016-10-28,CTD11,13.313
2016-10-28,CTD12,20.96
2016-10-28,CTD2,14.265
2016-10-28,CTD3,16.823
2016-10-28,CTD4,17.327
2016-10-28,CTD5,10.653
2016-10-28,CTD6,13.128
2016-10-28,CTD7,11.447
2016-10-28,CTD8,16.887
2016-10-28,CTD9,
2016-11-03,CTD1,15.75
2016-11-03,CTD10,24.54
2016-11-03,CTD11,27.283
2016-11-03,CTD12,27.5
2016-11-03,CTD2,18.6
2016-11-03,CTD3,21.4
2016-11-03,CTD4,21.917
2016-11-03,CTD5,10.51
2016-11-03,CTD6,27.11
2016-11-03,CTD7,17.647
2016-11-03,CTD8,25.243
2016-11-03,CTD9,
2016-11-11,CTD1,9.76
2016-11-11,CTD10,21.457
2016-11-11,CTD11,24.693
2016-11-11,CTD12,23.007
2016-11-11,CTD2,10.51
2016-11-11,CTD3,20.103
2016-11-11,CTD4,20.777
