Date,Buoy,Chl,Turbidez
2016-06-08,CTD8,,
2016-06-29,CTD4,12.9,6.3
2016-08-02,CTD1,11.78,5.84
2016-08-02,CTD10,,
2016-08-02,CTD11,,
2016-08-02,CTD12,,
2016-08-02,CTD2,,
2016-08-02,CTD3,,
2016-08-02,CTD4,,
2016-08-02,CTD6,,
2016-08-02,CTD7,,
2016-08-02,CTD8,,
2016-08-02,CTD9,,
2016-08-04,CTD1,13.15,6.87
2016-08-04,CTD10,,
2016-08-04,CTD11,,
2016-08-04,CTD12,,
2016-08-04,CTD2,,
2016-08-04,CTD3,,
2016-08-04,CTD4,,
2016-08-04,CTD6,,
2016-08-04,CTD7,,
2016-08-04,CTD8,,
2016-08-04,CTD9,,
2016-08-09,CTD1,11.46,6.89
2016-08-09,CTD10,,
2016-08-09,CTD11,,
2016-08-09,CTD12,,
2016-08-09,CTD2,,
2016-08-09,CTD3,,
2016-08-09,CTD4,,
2016-08-09,CTD5,,
2016-08-09,CTD6,,
2016-08-09,CTD7,,
2016-08-09,CTD8,,
2016-08-09,CTD9,,
2016-08-22,CTD12,14.13,8.49
2016-08-25,CTD1,13.43,6.87
2016-08-25,CTD10,,
2016-08-25,CTD11,,
2016-08-25,CTD2,,
2016-08-25,CTD3,,
2016-08-25,CTD4,,
2016-08-25,CTD5,,
2016-08-25,CTD6,,
2016-08-25,CTD7,,
2016-08-25,CTD8,,
2016-08-25,CTD9,,
2016-08-26,CTD4,,
2016-08-27,CTD4,,
2016-08-30,CTD1,,
2016-08-30,CTD10,,
2016-08-30,CTD11,,
2016-08-30,CTD2,,
2016-08-30,CTD3,,
2016-08-30,CTD4,,
2016-08-30,CTD5,,
2016-08-30,CTD6,,
2016-08-30,CTD7,,
2016-08-30,CTD8,,
2016-08-30,CTD9,,
2016-08-31,CTD1,,
2016-09-01,CTD1,15.61,7.0
2016-09-06,CTD1,17.74,4.87
2016-09-06,CTD10,,
2016-09-06,CTD11,,
2016-09-06,CTD12,,
2016-09-06,CTD2,,
2016-09-06,CTD3,,
2016-09-06,CTD4,,
2016-09-06,CTD5,,
2016-09-06,CTD6,,
2016-09-06,CTD7,,
2016-09-06,CTD8,,
2016-09-06,CTD9,,
2016-09-08,CTD1,18.69,4.95
2016-09-08,CTD10,,
2016-09-08,CTD11,,
2016-09-08,CTD12,,
2016-09-08,CTD2,,
2016-09-08,CTD3,,
2016-09-08,CTD4,,
2016-09-08,CTD5,,
2016-09-08,CTD6,,
2016-09-08,CTD7,,
2016-09-08,CTD9,,
2016-09-22,CTD1,17.92,7.35
2016-09-22,CTD10,,
2016-09-22,CTD11,,
2016-09-22,CTD2,,
2016-09-22,CTD3,11.84,7.71
2016-09-22,CTD4,11.44,6.95
2016-09-22,CTD5,,
2016-09-22,CTD6,,
2016-09-22,CTD7,,
2016-09-22,CTD8,,
2016-09-22,CTD9,,
2016-09-29,CTD1,10.85,7.3
2016-09-29,CTD10,,
2016-09-29,CTD11,,
2016-09-29,CTD12,,
2016-09-29,CTD2,,
2016-09-29,CTD3,11.85,6.78
2016-09-29,CTD5,,
2016-09-29,CTD6,11.38,8.6
2016-09-29,CTD7,,
2016-09-29,CTD8,,
2016-09-29,CTD9,,
2016-10-06,CTD1,16.04,5.28
2016-10-06,CTD10,,
2016-10-06,CTD11,,
2016-10-06,CTD12,,
2016-10-06,CTD2,,
2016-10-06,CTD3,14.3,5.7
2016-10-06,CTD4,11.63,5.94
2016-10-06,CTD5,,
2016-10-06,CTD6,14.45,8.26
2016-10-06,CTD7,,
2016-10-06,CTD8,,
2016-10-06,CTD9,,
2016-10-14,CTD1,23.46,6.05
2016-10-14,CTD10,17.52,15.08
2016-10-14,CTD11,21.35,10.68
2016-10-14,CTD12,19.39,9.99
2016-10-14,CTD2,20.65,7.15
2016-10-14,CTD3,17.5,5.96
2016-10-14,CTD4,20.59,7.37
2016-10-14,CTD5,8.55,2.82
2016-10-14,CTD6,21.175,7.58
2016-10-14,CTD7,19.1,11.45
2016-10-14,CTD8,21.43,9.67
2016-10-14,CTD9,,
2016-10-21,CTD1,11.99,5.53
2016-10-21,CTD10,21.19,11.25
2016-10-21,CTD11,11.17,8.9
2016-10-21,CTD12,18.72,7.05
2016-10-21,CTD2,,
2016-10-21,CTD3,14.24,5.16
2016-10-21,CTD4,9.67,6.25
2016-10-21,CTD5,5.59,2.89
2016-10-21,CTD6,16.465,6.62
2016-10-21,CTD7,16.68,8.32
2016-10-21,CTD8,16.62,8.84
2016-10-21,CTD9,,
2016-10-28,CTD1,9.22,4.27
2016-10-28,CTD10,12.64,7.49
2016-10-28,CTD11,12.92,6.85
2016-10-28,CTD12,20.44,7.37
2016-10-28,CTD2,,
2016-10-28,CTD3,16.42,5.53
2016-10-28,CTD4,17.43,6.64
2016-10-28,CTD5,10.81,6.12
2016-10-28,CTD6,12.21,6.52
2016-10-28,CTD7,11.36,11.33
2016-10-28,CTD8,15.8,6.87
2016-10-28,CTD9,,
