Date,Buoy,Chl
2016-06-08,CTD8,
2016-06-29,CTD4,12.565
2016-08-02,CTD1,11.78
2016-08-02,CTD10,
2016-08-02,CTD11,
2016-08-02,CTD12,
2016-08-02,CTD2,
2016-08-02,CTD3,
2016-08-02,CTD4,
2016-08-02,CTD6,
2016-08-02,CTD7,
2016-08-02,CTD8,
2016-08-02,CTD9,
2016-08-04,CTD1,13.15
2016-08-04,CTD10,
2016-08-04,CTD11,
2016-08-04,CTD12,
2016-08-04,CTD2,
2016-08-04,CTD3,
2016-08-04,CTD4,
2016-08-04,CTD6,
2016-08-04,CTD7,
2016-08-04,CTD8,
2016-08-04,CTD9,
2016-08-09,CTD1,11.46
2016-08-09,CTD10,
2016-08-09,CTD11,
2016-08-09,CTD12,
2016-08-09,CTD2,
2016-08-09,CTD3,
2016-08-09,CTD4,
2016-08-09,CTD5,
2016-08-09,CTD6,
2016-08-09,CTD7,
2016-08-09,CTD8,
2016-08-09,CTD9,
2016-08-22,CTD12,13.25
2016-08-25,CTD1,13.43
2016-08-25,CTD10,
2016-08-25,CTD11,
2016-08-25,CTD2,
2016-08-25,CTD3,
2016-08-25,CTD4,
2016-08-25,CTD5,
2016-08-25,CTD6,
2016-08-25,CTD7,
2016-08-25,CTD8,
2016-08-25,CTD9,
2016-08-26,CTD4,
2016-08-27,CTD4,
2016-08-30,CTD1,
2016-08-30,CTD10,
2016-08-30,CTD11,
2016-08-30,CTD2,
2016-08-30,CTD3,
2016-08-30,CTD4,
2016-08-30,CTD5,
2016-08-30,CTD6,
2016-08-30,CTD7,
2016-08-30,CTD8,
2016-08-30,CTD9,
2016-08-31,CTD1,
2016-09-01,CTD1,15.61
2016-09-06,CTD1,17.74
2016-09-06,CTD10,
2016-09-06,CTD11,
2016-09-06,CTD12,
2016-09-06,CTD2,
2016-09-06,CTD3,
2016-09-06,CTD4,
2016-09-06,CTD5,
2016-09-06,CTD6,
2016-09-06,CTD7,
2016-09-06,CTD8,
2016-09-06,CTD9,
2016-09-08,CTD1,18.69
2016-09-08,CTD10,
2016-09-08,CTD11,
2016-09-08,CTD12,
2016-09-08,CTD2,
2016-09-08,CTD3,
2016-09-08,CTD4,
2016-09-08,CTD5,
2016-09-08,CTD6,
2016-09-08,CTD7,
2016-09-08,CTD9,
2016-09-22,CTD1,17.92
2016-09-22,CTD10,
2016-09-22,CTD11,17.68
2016-09-22,CTD2,
2016-09-22,CTD3,12.17
2016-09-22,CTD4,11.965
2016-09-22,CTD5,1.12
2016-09-22,CTD6,12.79
2016-09-22,CTD7,
2016-09-22,CTD8,12.62
2016-09-22,CTD9,
2016-09-29,CTD1,10.85
2016-09-29,CTD10,8.7
2016-09-29,CTD11,12.27
2016-09-29,CTD12,12.36
2016-09-29,CTD2,
2016-09-29,CTD3,12.9
2016-09-29,CTD5,1.3
2016-09-29,CTD6,10.755
2016-09-29,CTD7,11.1
2016-09-29,CTD8,10.42
2016-09-29,CTD9,
2016-10-06,CTD1,16.04
2016-10-06,CTD10,16.99
2016-10-06,CTD11,15.23
2016-10-06,CTD12,13.19
2016-10-06,CTD2,
2016-10-06,CTD3,14.33
2016-10-06,CTD4,12.645
2016-10-06,CTD5,0.85
2016-10-06,CTD6,15.065
2016-10-06,CTD7,16.03
2016-10-06,CTD8,12.0
2016-10-06,CTD9,
2016-10-14,CTD1,23.46
2016-10-14,CTD10,17.965
2016-10-14,CTD11,21.48
2016-10-14,CTD12,19.2
2016-10-14,CTD2,19.82
2016-10-14,CTD3,19.09
2016-10-14,CTD4,17.295
2016-10-14,CTD5,8.675
2016-10-14,CTD6,21.185
2016-10-14,CTD7,19.46
2016-10-14,CTD8,21.575
2016-10-14,CTD9,
2016-10-21,CTD1,11.99
2016-10-21,CTD10,21.355
2016-10-21,CTD11,11.2
2016-10-21,CTD12,18.885
2016-10-21,CTD2,
2016-10-21,CTD3,15.845
2016-10-21,CTD4,9.615
2016-10-21,CTD5,5.615
2016-10-21,CTD6,16.545
2016-10-21,CTD7,17.55
2016-10-21,CTD8,16.365
2016-10-21,CTD9,
