Date,Buoy,Chl
2016-06-08,CTD8,14.107
2016-06-29,CTD4,12.8
2016-08-02,CTD1,12.187
2016-08-02,CTD10,14.533
2016-08-02,CTD11,16.027
2016-08-02,CTD12,15.71
2016-08-02,CTD2,15.257
2016-08-02,CTD3,14.647
2016-08-02,CTD4,12.307
2016-08-02,CTD6,17.37
2016-08-02,CTD7,16.697
2016-08-02,CTD8,14.377
2016-08-02,CTD9,10.98
2016-08-04,CTD1,15.283
2016-08-04,CTD10,17.797
2016-08-04,CTD11,14.607
2016-08-04,CTD12,20.823
2016-08-04,CTD2,11.607
2016-08-04,CTD3,10.773
2016-08-04,CTD4,7.373
2016-08-04,CTD6,10.843
2016-08-04,CTD7,13.11
2016-08-04,CTD8,17.683
2016-08-04,CTD9,10.18
2016-08-09,CTD1,10.547
2016-08-09,CTD10,12.667
2016-08-09,CTD11,9.49
2016-08-09,CTD12,9.643
2016-08-09,CTD2,11.54
2016-08-09,CTD3,11.967
2016-08-09,CTD4,8.42
2016-08-09,CTD6,11.273
2016-08-09,CTD7,12.67
2016-08-09,CTD8,13.84
2016-08-09,CTD9,3.66
2016-08-22,CTD12,11.85
2016-08-25,CTD1,14.397
2016-08-25,CTD10,18.67
2016-08-25,CTD11,16.7
2016-08-25,CTD2,16.417
2016-08-25,CTD3,14.62
2016-08-25,CTD4,16.52
2016-08-25,CTD6,12.163
2016-08-25,CTD7,12.3
2016-08-25,CTD8,11.43
2016-08-25,CTD9,14.7
2016-08-26,CTD4,16.76
2016-08-27,CTD4,11.11
2016-08-30,CTD1,12.46
2016-08-30,CTD10,14.49
2016-08-30,CTD11,9.453
2016-08-30,CTD2,13.937
2016-08-30,CTD3,15.427
2016-08-30,CTD4,12.303
2016-08-30,CTD6,15.223
2016-08-30,CTD7,15.323
2016-08-30,CTD8,16.61
2016-08-30,CTD9,8.44
2016-08-31,CTD1,13.44
2016-09-01,CTD1,15.61
2016-09-06,CTD1,17.687
2016-09-06,CTD10,17.31
2016-09-06,CTD11,15.707
2016-09-06,CTD12,11.81
2016-09-06,CTD2,16.623
2016-09-06,CTD3,16.097
2016-09-06,CTD4,11.45
2016-09-06,CTD6,15.007
2016-09-06,CTD7,14.733
2016-09-06,CTD8,13.44
2016-09-06,CTD9,6.76
2016-09-08,CTD1,20.69
2016-09-08,CTD10,16.087
2016-09-08,CTD11,13.64
2016-09-08,CTD12,13.523
2016-09-08,CTD2,15.453
2016-09-08,CTD3,12.993
2016-09-08,CTD4,14.823
2016-09-08,CTD6,13.47
2016-09-08,CTD7,16.1
2016-09-08,CTD9,3.8
2016-09-22,CTD1,15.787
2016-09-22,CTD10,12.84
2016-09-22,CTD11,14.783
2016-09-22,CTD2,14.313
2016-09-22,CTD3,12.22
2016-09-22,CTD4,10.11
2016-09-22,CTD6,10.96
2016-09-22,CTD7,11.697
2016-09-22,CTD8,12.58
2016-09-22,CTD9,8.92
2016-09-29,CTD1,12.11
2016-09-29,CTD10,5.133
2016-09-29,CTD11,12.453
2016-09-29,CTD12,11.117
2016-09-29,CTD2,12.407
2016-09-29,CTD3,12.477
2016-09-29,CTD6,10.51
2016-09-29,CTD7,10.31
2016-09-29,CTD8,9.5
2016-09-29,CTD9,13.75
2016-10-06,CTD1,14.96
2016-10-06,CTD10,4.207
2016-10-06,CTD11,14.433
2016-10-06,CTD12,11.297
2016-10-06,CTD2,15.427
2016-10-06,CTD3,15.41
2016-10-06,CTD4,12.14
2016-10-06,CTD6,15.95
2016-10-06,CTD7,15.027
2016-10-06,CTD8,11.7
2016-10-06,CTD9,1.51
2016-10-14,CTD1,23.153
2016-10-14,CTD10,21.987
2016-10-14,CTD11,23.34
2016-10-14,CTD12,20.217
2016-10-14,CTD2,20.943
2016-10-14,CTD3,19.227
2016-10-14,CTD4,18.397
2016-10-14,CTD6,20.553
2016-10-14,CTD7,15.473
2016-10-14,CTD8,22.123
2016-10-14,CTD9,22.0
2016-10-21,CTD1,12.25
2016-10-21,CTD10,24.02
2016-10-21,CTD11,13.35
2016-10-21,CTD12,20.803
2016-10-21,CTD2,17.6
2016-10-21,CTD3,19.217
2016-10-21,CTD4,10.033
2016-10-21,CTD6,16.243
2016-10-21,CTD7,17.1
2016-10-21,CTD8,17.183
2016-10-21,CTD9,16.17
2016-10-28,CTD1,9.57
2016-10-28,CTD10,18.71
2016-10-28,CTD11,14.053
2016-10-28,CTD12,20.02
