Date,Buoy,Chl
2016-06-08,CTD8,14.81
2016-06-29,CTD4,14.65
2016-08-02,CTD1,12.87
2016-08-02,CTD10,17.57
2016-08-02,CTD11,17.94
2016-08-02,CTD12,17.36
2016-08-02,CTD2,15.92
2016-08-02,CTD3,15.69
2016-08-02,CTD4,11.17
2016-08-02,CTD6,16.42
2016-08-02,CTD7,17.19
2016-08-02,CTD8,14.97
2016-08-02,CTD9,10.98
2016-08-04,CTD1,16.44
2016-08-04,CTD10,22.68
2016-08-04,CTD11,20.78
2016-08-04,CTD12,24.43
2016-08-04,CTD2,12.1
2016-08-04,CTD3,10.54
2016-08-04,CTD4,7.95
2016-08-04,CTD6,11.11
2016-08-04,CTD7,14.58
2016-08-04,CTD8,20.77
2016-08-04,CTD9,10.18
2016-08-09,CTD1,10.27
2016-08-09,CTD10,10.85
2016-08-09,CTD11,9.53
2016-08-09,CTD12,10.5
2016-08-09,CTD2,11.29
2016-08-09,CTD3,12.56
2016-08-09,CTD4,8.48
2016-08-09,CTD5,0.21
2016-08-09,CTD6,12.64
2016-08-09,CTD7,13.99
2016-08-09,CTD8,14.12
2016-08-09,CTD9,3.66
2016-08-22,CTD12,12.24
2016-08-25,CTD1,15.94
2016-08-25,CTD10,21.03
2016-08-25,CTD11,19.94
2016-08-25,CTD2,18.26
2016-08-25,CTD3,15.98
2016-08-25,CTD4,16.52
2016-08-25,CTD5,0.44
2016-08-25,CTD6,13.77
2016-08-25,CTD7,13.67
2016-08-25,CTD8,12.02
2016-08-25,CTD9,14.7
2016-08-26,CTD4,
2016-08-27,CTD4,
2016-08-30,CTD1,12.46
2016-08-30,CTD10,17.37
2016-08-30,CTD11,10.52
2016-08-30,CTD2,14.06
2016-08-30,CTD3,15.38
2016-08-30,CTD4,12.42
2016-08-30,CTD5,1.67
2016-08-30,CTD6,17.86
2016-08-30,CTD7,18.3
2016-08-30,CTD8,19.33
2016-08-30,CTD9,8.44
2016-08-31,CTD1,
2016-09-01,CTD1,
2016-09-06,CTD1,18.47
2016-09-06,CTD10,18.32
2016-09-06,CTD11,15.9
2016-09-06,CTD12,11.81
2016-09-06,CTD2,18.53
2016-09-06,CTD3,16.77
2016-09-06,CTD4,12.07
2016-09-06,CTD5,
2016-09-06,CTD6,13.32
2016-09-06,CTD7,16.14
2016-09-06,CTD8,15.99
2016-09-06,CTD9,6.76
2016-09-08,CTD1,23.19
2016-09-08,CTD10,14.67
2016-09-08,CTD11,16.1
2016-09-08,CTD12,14.53
2016-09-08,CTD2,17.47
2016-09-08,CTD3,14.11
2016-09-08,CTD4,14.72
2016-09-08,CTD5,0.94
2016-09-08,CTD6,15.48
2016-09-08,CTD7,17.88
2016-09-08,CTD9,3.8
2016-09-22,CTD1,14.53
2016-09-22,CTD10,10.86
2016-09-22,CTD11,16.39
2016-09-22,CTD2,14.6
2016-09-22,CTD3,12.65
2016-09-22,CTD4,11.3
2016-09-22,CTD5,0.56
2016-09-22,CTD6,11.5
2016-09-22,CTD7,6.37
2016-09-22,CTD8,12.56
2016-09-22,CTD9,8.92
2016-09-29,CTD1,11.83
2016-09-29,CTD10,1.0
2016-09-29,CTD11,13.85
2016-09-29,CTD12,11.67
2016-09-29,CTD2,12.31
2016-09-29,CTD3,11.96
2016-09-29,CTD5,0.46
2016-09-29,CTD6,11.62
2016-09-29,CTD7,11.19
2016-09-29,CTD8,10.19
2016-09-29,CTD9,13.75
2016-10-06,CTD1,14.52
2016-10-06,CTD10,0.61
2016-10-06,CTD11,16.52
2016-10-06,CTD12,14.21
2016-10-06,CTD2,15.2
2016-10-06,CTD3,15.34
2016-10-06,CTD4,13.88
2016-10-06,CTD5,0.88
2016-10-06,CTD6,16.39
2016-10-06,CTD7,14.97
2016-10-06,CTD8,12.11
2016-10-06,CTD9,1.51
2016-10-14,CTD1,20.03
2016-10-14,CTD10,21.42
2016-10-14,CTD11,24.9
2016-10-14,CTD12,20.2
2016-10-14,CTD2,20.4
2016-10-14,CTD3,19.1
2016-10-14,CTD4,17.92
2016-10-14,CTD5,3.5
2016-10-14,CTD6,18.93
2016-10-14,CTD7,20.63
2016-10-14,CTD8,21.06
2016-10-14,CTD9,22.0
2016-10-21,CTD1,12.66
2016-10-21,CTD10,24.16
2016-10-21,CTD11,15.04
2016-10-21,CTD12,20.8
2016-10-21,CTD2,18.92
2016-10-21,CTD3,20.48
2016-10-21,CTD4,10.5
2016-10-21,CTD5,1.24
2016-10-21,CTD6,16.05
2016-10-21,CTD7,15.47
2016-10-21,CTD8,16.64
2016-10-21,CTD9,16.17
2016-10-28,CTD1,10.47
2016-10-28,CTD10,20.0
2016-10-28,CTD11,13.54
2016-10-28,CTD12,16.5
2016-10-28,CTD2,16.14
2016-10-28,CTD3,18.69
2016-10-28,CTD4,9.52
2016-10-28,CTD5,2.05
2016-10-28,CTD6,16.75
2016-10-28,CTD7,15.94
2016-10-28,CTD8,13.32
2016-10-28,CTD9,7.61
2016-11-03,CTD1,14.27
2016-11-03,CTD10,16.8
2016-11-03,CTD11,23.58
2016-11-03,CTD12,25.42
2016-11-03,CTD2,19.58
2016-11-03,CTD3,21.73
2016-11-03,CTD4,20.76
2016-11-03,CTD5,3.65
2016-11-03,CTD6,24.67
2016-11-03,CTD7,15.58
2016-11-03,CTD8,22.7
2016-11-03,CTD9,8.0
2016-11-11,CTD1,7.55
2016-11-11,CTD10,14.7
2016-11-11,CTD11,17.29
2016-11-11,CTD12,14.41
2016-11-11,CTD2,9.06
2016-11-11,CTD3,12.37
2016-11-11,CTD4,12.16
2016-11-11,CTD5,1.16
2016-11-11,CTD6,19.45
2016-11-11,CTD7,11.86
2016-11-11,CTD8,11.61
2016-11-11,CTD9,2.53
2016-11-18,CTD1,6.48
2016-11-18,CTD10,8.5
2016-11-18,CTD11,4.14
2016-11-18,CTD12,14.35
2016-11-18,CTD2,15.65
2016-11-18,CTD3,13.82
2016-11-18,CTD4,19.51
2016-11-18,CTD5,1.95
2016-11-18,CTD6,16.03
2016-11-18,CTD7,9.38
2016-11-18,CTD8,12.95
2016-11-18,CTD9,3.19
2016-11-22,CTD1,17.44
2016-11-22,CTD10,21.56
2016-11-22,CTD11,9.3
2016-11-22,CTD12,18.69
2016-11-22,CTD2,14.98
2016-11-22,CTD3,6.77
2016-11-22,CTD4,9.75
2016-11-22,CTD5,1.33
2016-11-22,CTD6,11.04
2016-11-22,CTD7,25.96
2016-11-22,CTD8,22.51
2016-11-22,CTD9,8.1
2016-12-02,CTD1,15.98
2016-12-02,CTD10,13.42
2016-12-02,CTD11,10.45
2016-12-02,CTD12,14.78
2016-12-02,CTD2,10.93
2016-12-02,CTD3,18.61
2016-12-02,CTD4,10.53
2016-12-02,CTD5,1.35
2016-12-02,CTD6,19.32
2016-12-02,CTD7,10.42
2016-12-02,CTD8,14.29
2016-12-02,CTD9,12.5
2016-12-13,CTD1,10.74
2016-12-13,CTD10,13.46
2016-12-13,CTD11,3.05
2016-12-13,CTD12,11.15
2016-12-13,CTD2,17.69
2016-12-13,CTD3,18.66
2016-12-13,CTD4,7.21
2016-12-13,CTD5,2.56
2016-12-13,CTD6,11.87
2016-12-13,CTD7,10.92
2016-12-13,CTD8,11.05
2016-12-13,CTD9,10.74
2016-12-21,CTD1,30.01
2016-12-21,CTD2,25.78
2016-12-21,CTD3,28.17
2016-12-21,CTD4,
2016-12-21,CTD5,0.53
2016-12-21,CTD6,
2016-12-21,CTD7,20.03
2016-12-29,CTD1,17.66
2016-12-29,CTD2,28.65
2017-01-12,CTD1,34.98
2017-01-12,CTD10,15.51
2017-01-12,CTD11,11.23
2017-01-12,CTD12,27.78
2017-01-12,CTD2,48.97
2017-01-12,CTD3,48.29
2017-01-12,CTD4,18.59
2017-01-12,CTD5,4.78
2017-01-12,CTD6,22.61
2017-01-12,CTD7,25.83
2017-01-12,CTD8,30.05
2017-01-12,CTD9,
2017-01-26,CTD1,26.22
2017-01-26,CTD10,8.87
2017-01-26,CTD11,7.79
2017-01-26,CTD12,12.93
2017-01-26,CTD2,47.0
2017-01-26,CTD3,38.21
2017-01-26,CTD4,33.58
2017-01-26,CTD5,4.52
2017-01-26,CTD6,16.56
2017-01-26,CTD7,27.39
2017-01-26,CTD8,27.1
2017-01-26,CTD9,8.68
2017-02-03,CTD1,16.93
2017-02-03,CTD10,18.6
2017-02-03,CTD11,5.25
2017-02-03,CTD12,8.01
2017-02-03,CTD2,22.97
2017-02-03,CTD3,20.09
2017-02-03,CTD4,17.48
2017-02-03,CTD5,2.17
2017-02-03,CTD6,22.3
2017-02-03,CTD7,18.53
2017-02-03,CTD8,15.54
2017-02-03,CTD9,13.79
2017-02-10,CTD1,19.83
2017-02-10,CTD10,14.65
2017-02-10,CTD11,6.98
2017-02-10,CTD12,12.67
2017-02-10,CTD2,22.69
2017-02-10,CTD3,8.13
2017-02-10,CTD4,3.92
2017-02-10,CTD5,1.61
2017-02-10,CTD6,7.2
2017-02-10,CTD7,22.69
2017-02-10,CTD8,18.24
2017-02-10,CTD9,3.26
2017-02-16,CTD1,8.9
2017-02-16,CTD10,15.9
2017-02-16,CTD11,7.36
2017-02-16,CTD12,16.71
2017-02-16,CTD2,18.05
2017-02-16,CTD3,18.85
2017-02-16,CTD4,5.02
2017-02-16,CTD5,1.79
2017-02-16,CTD6,9.12
2017-02-16,CTD7,16.05
2017-02-16,CTD8,16.93
2017-02-16,CTD9,11.52
2017-02-24,CTD1,10.96
2017-02-24,CTD10,21.61
2017-02-24,CTD11,4.75
2017-02-24,CTD12,8.11
2017-02-24,CTD2,14.09
2017-02-24,CTD3,11.27
2017-02-24,CTD4,8.29
2017-02-24,CTD5,1.63
2017-02-24,CTD6,14.37
2017-02-24,CTD7,18.98
2017-02-24,CTD8,15.26
2017-02-24,CTD9,9.01
2017-03-02,CTD1,2.74
2017-03-02,CTD10,5.43
2017-03-02,CTD11,4.0
2017-03-02,CTD12,6.66
2017-03-02,CTD2,12.83
2017-03-02,CTD3,11.7
2017-03-02,CTD4,4.17
2017-03-02,CTD5,0.73
2017-03-02,CTD6,5.96
2017-03-02,CTD7,5.08
2017-03-02,CTD8,4.16
2017-03-02,CTD9,2.14
2017-03-08,CTD9,1.77
2017-03-22,CTD1,2.54
2017-03-22,CTD10,4.73
2017-03-22,CTD11,2.6
2017-03-22,CTD12,4.26
2017-03-22,CTD2,4.22
2017-03-22,CTD3,4.22
2017-03-22,CTD4,3.35
2017-03-22,CTD5,2.28
2017-03-22,CTD6,5.3
2017-03-22,CTD7,5.41
2017-03-22,CTD8,5.46
2017-03-22,CTD9,3.35
2017-03-30,CTD1,3.22
2017-03-30,CTD10,3.71
2017-03-30,CTD11,2.8
2017-03-30,CTD12,4.95
2017-03-30,CTD2,7.51
2017-03-30,CTD3,4.26
2017-03-30,CTD4,3.78
2017-03-30,CTD5,3.32
2017-03-30,CTD6,5.64
2017-03-30,CTD7,5.45
2017-03-30,CTD8,4.67
2017-03-30,CTD9,2.94
2017-04-05,CTD1,3.32
2017-04-05,CTD10,3.93
2017-04-05,CTD11,2.94
2017-04-05,CTD12,3.21
2017-04-05,CTD2,5.09
2017-04-05,CTD3,4.58
2017-04-05,CTD4,2.95
2017-04-05,CTD5,2.47
2017-04-05,CTD6,4.83
2017-04-05,CTD7,9.65
2017-04-05,CTD8,8.22
2017-04-05,CTD9,2.74
2017-04-12,CTD1,3.68
2017-04-12,CTD10,4.69
2017-04-12,CTD11,3.03
2017-04-12,CTD12,3.5
2017-04-12,CTD2,5.77
2017-04-12,CTD3,9.78
2017-04-12,CTD4,5.23
2017-04-12,CTD5,3.27
2017-04-12,CTD6,4.52
2017-04-12,CTD7,9.78
2017-04-12,CTD8,7.05
2017-04-12,CTD9,2.93
2017-04-18,CTD1,5.03
2017-04-18,CTD10,5.43
2017-04-18,CTD11,7.1
2017-04-18,CTD12,5.51
2017-04-18,CTD2,
2017-04-18,CTD3,4.66
2017-04-18,CTD4,5.43
2017-04-18,CTD5,3.45
2017-04-18,CTD6,7.71
2017-04-18,CTD7,6.24
2017-04-18,CTD8,10.94
2017-04-18,CTD9,
2017-04-25,CTD1,3.42
2017-04-25,CTD10,4.05
2017-04-25,CTD11,3.91
2017-04-25,CTD12,4.83
2017-04-25,CTD2,8.03
2017-04-25,CTD3,10.7
2017-04-25,CTD4,5.02
2017-04-25,CTD5,2.91
2017-04-25,CTD6,4.72
2017-04-25,CTD7,5.96
2017-04-25,CTD8,6.6
2017-04-25,CTD9,2.93
2017-05-04,CTD1,3.37
2017-05-04,CTD10,3.21
2017-05-04,CTD11,3.04
2017-05-04,CTD12,3.16
2017-05-04,CTD2,4.56
2017-05-04,CTD3,4.59
2017-05-04,CTD4,5.11
2017-05-04,CTD5,2.67
2017-05-04,CTD6,3.75
2017-05-04,CTD7,3.42
2017-05-04,CTD8,3.51
2017-05-04,CTD9,2.76
2017-05-10,CTD1,4.97
2017-05-10,CTD10,4.5
2017-05-10,CTD11,4.16
2017-05-10,CTD12,4.02
2017-05-10,CTD2,4.11
2017-05-10,CTD3,5.07
2017-05-10,CTD4,
2017-05-10,CTD5,2.93
2017-05-10,CTD6,3.47
2017-05-10,CTD7,3.85
2017-05-10,CTD8,3.3
2017-05-10,CTD9,3.03
2017-05-19,CTD1,0.669
2017-05-19,CTD10,0.33
2017-05-19,CTD11,0.395
2017-05-19,CTD12,0.4455
2017-05-19,CTD2,0.5495
2017-05-19,CTD3,0.7495
2017-05-19,CTD4,0.5549999999999999
2017-05-19,CTD5,0.27
2017-05-19,CTD6,0.33
2017-05-19,CTD7,0.4235
2017-05-19,CTD8,0.5685
2017-05-19,CTD9,0.47650000000000003
2017-05-24,CTD1,0.4485
2017-05-24,CTD10,0.33899999999999997
2017-05-24,CTD11,0.3615
2017-05-24,CTD12,0.371
2017-05-24,CTD2,0.496
2017-05-24,CTD3,0.5995
2017-05-24,CTD4,0.327
2017-05-24,CTD5,0.25
2017-05-24,CTD6,0.28250000000000003
2017-05-24,CTD7,0.6465
2017-05-24,CTD8,0.3945
2017-05-24,CTD9,0.1645
2017-06-02,CTD1,0.7629999999999999
2017-06-02,CTD10,0.8895
2017-06-02,CTD11,0.4735
2017-06-02,CTD12,0.6395
2017-06-02,CTD2,1.2425
2017-06-02,CTD3,0.6174999999999999
2017-06-02,CTD4,0.28200000000000003
2017-06-02,CTD5,0.3
2017-06-02,CTD6,0.488
2017-06-02,CTD7,0.8365
2017-06-02,CTD8,0.635
2017-06-02,CTD9,0.574
2017-06-06,CTD1,0.33849999999999997
2017-06-06,CTD10,0.921
2017-06-06,CTD11,0.9650000000000001
2017-06-06,CTD12,0.351
2017-06-06,CTD2,1.04
2017-06-06,CTD3,0.4385
2017-06-06,CTD4,0.405
2017-06-06,CTD5,0.46
2017-06-06,CTD6,0.4375
2017-06-06,CTD7,0.5675
2017-06-06,CTD8,1.0265
2017-06-06,CTD9,0.29200000000000004
2017-06-13,CTD1,0.5275
2017-06-13,CTD10,0.8895
2017-06-13,CTD11,0.4145
2017-06-13,CTD12,0.7070000000000001
2017-06-13,CTD2,0.397
2017-06-13,CTD3,0.8835
2017-06-13,CTD4,0.4235
2017-06-13,CTD5,0.21
2017-06-13,CTD6,0.3275
2017-06-13,CTD7,0.8935000000000001
2017-06-13,CTD8,0.5135
2017-06-13,CTD9,0.601
2017-06-21,CTD1,0.6885
2017-06-21,CTD10,0.2105
2017-06-21,CTD11,0.30800000000000005
2017-06-21,CTD12,0.5950000000000001
2017-06-21,CTD2,0.8075
2017-06-21,CTD3,0.5985
2017-06-21,CTD4,0.912
2017-06-21,CTD5,0.56
2017-06-21,CTD6,0.39099999999999996
2017-06-21,CTD7,0.412
2017-06-21,CTD8,0.518
2017-06-21,CTD9,0.21850000000000003
2017-06-30,CTD1,0.5875
2017-06-30,CTD10,0.368
2017-06-30,CTD11,0.5750000000000001
2017-06-30,CTD12,0.6365
2017-06-30,CTD2,0.3115
2017-06-30,CTD3,0.6875
2017-06-30,CTD4,0.593
2017-06-30,CTD5,0.18
2017-06-30,CTD6,0.7375
2017-06-30,CTD7,0.3065
2017-06-30,CTD8,0.40750000000000003
2017-06-30,CTD9,0.4625
2017-07-05,CTD1,0.32699999999999996
2017-07-05,CTD10,0.5175000000000001
2017-07-05,CTD11,0.6655
2017-07-05,CTD12,0.8300000000000001
2017-07-05,CTD2,1.1075
2017-07-05,CTD3,0.8009999999999999
2017-07-05,CTD4,0.6060000000000001
2017-07-05,CTD5,0.39
2017-07-05,CTD6,0.7490000000000001
2017-07-05,CTD7,1.217
2017-07-05,CTD8,0.4985
2017-07-05,CTD9,0.1225
2017-07-12,CTD1,0.36050000000000004
2017-07-12,CTD10,1.3780000000000001
2017-07-12,CTD11,1.228
2017-07-12,CTD12,0.9904999999999999
2017-07-12,CTD2,0.943
2017-07-12,CTD3,1.0050000000000001
2017-07-12,CTD4,0.6665
2017-07-12,CTD5,0.52
2017-07-12,CTD6,1.116
2017-07-12,CTD7,1.09
2017-07-12,CTD8,0.993
2017-07-12,CTD9,0.39149999999999996
2017-07-19,CTD1,0.724
2017-07-19,CTD10,0.7955
2017-07-19,CTD11,1.482
2017-07-19,CTD12,0.53
2017-07-19,CTD2,1.208
2017-07-19,CTD3,0.9485
2017-07-19,CTD4,0.7234999999999999
2017-07-19,CTD5,0.2
2017-07-19,CTD6,1.0065
2017-07-19,CTD7,1.3915
2017-07-19,CTD8,0.7945
2017-07-19,CTD9,0.5695
2017-07-26,CTD1,0.30500000000000005
2017-07-26,CTD10,0.516
2017-07-26,CTD11,1.2089999999999999
2017-07-26,CTD12,1.0845
2017-07-26,CTD2,1.048
2017-07-26,CTD3,0.6985
2017-07-26,CTD4,0.6299999999999999
2017-07-26,CTD5,0.34
2017-07-26,CTD6,1.2645
2017-07-26,CTD7,1.607
2017-07-26,CTD8,0.7605
2017-07-26,CTD9,0.423
2017-08-08,CTD1,0.98
2017-08-08,CTD10,5.06
2017-08-08,CTD11,6.51
2017-08-08,CTD12,4.0
2017-08-08,CTD2,2.7
2017-08-08,CTD3,1.78
2017-08-08,CTD4,3.37
2017-08-08,CTD5,0.69
2017-08-08,CTD6,4.5
2017-08-08,CTD7,2.06
2017-08-08,CTD8,4.23
2017-08-08,CTD9,4.45
2017-08-16,CTD1,4.55
2017-08-16,CTD10,4.13
2017-08-16,CTD11,5.84
2017-08-16,CTD12,5.77
2017-08-16,CTD2,5.77
2017-08-16,CTD3,3.3
2017-08-16,CTD4,3.07
2017-08-16,CTD5,0.16
2017-08-16,CTD6,5.56
2017-08-16,CTD7,4.39
2017-08-16,CTD8,4.12
2017-08-16,CTD9,2.23
2017-08-23,CTD1,5.14
2017-08-23,CTD10,8.56
2017-08-23,CTD11,10.73
2017-08-23,CTD12,8.08
2017-08-23,CTD2,3.75
2017-08-23,CTD3,3.5
2017-08-23,CTD4,3.37
2017-08-23,CTD5,0.45
2017-08-23,CTD6,8.08
2017-08-23,CTD7,9.09
2017-08-23,CTD8,7.32
2017-08-23,CTD9,2.62
2017-08-30,CTD1,2.509
2017-08-30,CTD10,3.305
2017-08-30,CTD11,3.28
2017-08-30,CTD12,3.1424999999999996
2017-08-30,CTD2,2.7415
2017-08-30,CTD3,2.7815
2017-08-30,CTD4,3.1015
2017-08-30,CTD5,1.16
2017-08-30,CTD6,2.8575
2017-08-30,CTD7,2.6675
2017-08-30,CTD8,2.704
2017-08-30,CTD9,2.895
2017-09-06,CTD1,2.491
2017-09-06,CTD10,3.8675
2017-09-06,CTD11,3.6845
2017-09-06,CTD12,3.9245
2017-09-06,CTD2,4.1345
2017-09-06,CTD3,2.241
2017-09-06,CTD4,2.5389999999999997
2017-09-06,CTD5,0.44
2017-09-06,CTD6,3.632
2017-09-06,CTD7,0.1805
2017-09-06,CTD8,3.5455
2017-09-06,CTD9,0.199
2017-09-11,CTD1,0.9540000000000001
2017-09-11,CTD10,2.181
2017-09-11,CTD11,2.138
2017-09-11,CTD12,3.1295
2017-09-11,CTD2,1.4835
2017-09-11,CTD3,1.2510000000000001
2017-09-11,CTD4,1.2025000000000001
2017-09-11,CTD5,0.47
2017-09-11,CTD6,2.6635
2017-09-11,CTD7,1.3465
2017-09-11,CTD8,2.0735
2017-09-11,CTD9,1.4715
2017-09-20,CTD1,3.58
2017-09-20,CTD10,4.32
2017-09-20,CTD11,5.04
2017-09-20,CTD12,6.88
2017-09-20,CTD2,5.12
2017-09-20,CTD3,2.76
2017-09-20,CTD4,2.93
2017-09-20,CTD5,0.28
2017-09-20,CTD6,6.03
2017-09-20,CTD7,3.35
2017-09-20,CTD8,5.18
2017-09-20,CTD9,2.19
2017-09-27,CTD1,0.9365
2017-09-27,CTD10,1.894
2017-09-27,CTD11,2.048
2017-09-27,CTD12,3.5165
2017-09-27,CTD2,3.3815
2017-09-27,CTD3,3.0035
