Date,Buoy,Chl,Turbidez
2016-06-08,CTD8,,
2016-06-29,CTD4,12.565,6.135
2016-08-02,CTD1,11.78,5.84
2016-08-02,CTD10,,
2016-08-02,CTD11,,
2016-08-02,CTD12,,
2016-08-02,CTD2,,
2016-08-02,CTD3,,
2016-08-02,CTD4,,
2016-08-02,CTD6,,
2016-08-02,CTD7,,
2016-08-02,CTD8,,
2016-08-02,CTD9,,
2016-08-04,CTD1,13.15,6.87
2016-08-04,CTD10,,
2016-08-04,CTD11,,
2016-08-04,CTD12,,
2016-08-04,CTD2,,
2016-08-04,CTD3,,
2016-08-04,CTD4,,
2016-08-04,CTD6,,
2016-08-04,CTD7,,
2016-08-04,CTD8,,
2016-08-04,CTD9,,
2016-08-09,CTD1,11.46,6.89
2016-08-09,CTD10,,
2016-08-09,CTD11,,
2016-08-09,CTD12,,
2016-08-09,CTD2,,
2016-08-09,CTD3,,
2016-08-09,CTD4,,
2016-08-09,CTD5,0.21,0.12
2016-08-09,CTD6,,
2016-08-09,CTD7,,
2016-08-09,CTD8,,
2016-08-09,CTD9,,
2016-08-22,CTD12,13.25,8.155
2016-08-25,CTD1,13.43,6.87
2016-08-25,CTD10,,
2016-08-25,CTD11,,
2016-08-25,CTD2,,
2016-08-25,CTD3,,
2016-08-25,CTD4,,
2016-08-25,CTD5,0.44,1.06
2016-08-25,CTD6,,
2016-08-25,CTD7,,
2016-08-25,CTD8,,
2016-08-25,CTD9,,
2016-08-26,CTD4,,
2016-08-27,CTD4,,
2016-08-30,CTD1,,
2016-08-30,CTD10,,
2016-08-30,CTD11,,
2016-08-30,CTD2,,
2016-08-30,CTD3,,
2016-08-30,CTD4,,
2016-08-30,CTD5,1.67,0.44
2016-08-30,CTD6,,
2016-08-30,CTD7,,
2016-08-30,CTD8,,
2016-08-30,CTD9,,
2016-08-31,CTD1,,
2016-09-01,CTD1,15.61,7.0
2016-09-06,CTD1,17.74,4.87
2016-09-06,CTD10,,
2016-09-06,CTD11,,
2016-09-06,CTD12,,
2016-09-06,CTD2,,
2016-09-06,CTD3,,
2016-09-06,CTD4,,
2016-09-06,CTD5,,
2016-09-06,CTD6,,
2016-09-06,CTD7,,
2016-09-06,CTD8,,
2016-09-06,CTD9,,
2016-09-08,CTD1,18.69,4.95
2016-09-08,CTD10,,
2016-09-08,CTD11,,
2016-09-08,CTD12,,
2016-09-08,CTD2,,
2016-09-08,CTD3,,
2016-09-08,CTD4,,
2016-09-08,CTD5,0.94,0.04
2016-09-08,CTD6,,
2016-09-08,CTD7,,
2016-09-08,CTD9,,
2016-09-22,CTD1,17.92,7.35
2016-09-22,CTD10,,
2016-09-22,CTD11,17.68,11.71
2016-09-22,CTD2,,
2016-09-22,CTD3,12.17,7.58
2016-09-22,CTD4,11.965,6.715
2016-09-22,CTD5,0.8400000000000001,0.84
2016-09-22,CTD6,12.79,6.49
2016-09-22,CTD7,,
2016-09-22,CTD8,12.62,9.13
2016-09-22,CTD9,,
2016-09-29,CTD1,10.85,7.3
2016-09-29,CTD10,8.7,23.11
2016-09-29,CTD11,12.27,11.32
2016-09-29,CTD12,12.36,10.73
2016-09-29,CTD2,,
2016-09-29,CTD3,12.9,6.8
2016-09-29,CTD5,0.88,4.26
2016-09-29,CTD6,10.755,8.73
2016-09-29,CTD7,11.1,13.16
2016-09-29,CTD8,10.42,15.95
2016-09-29,CTD9,,
2016-10-06,CTD1,16.04,5.28
2016-10-06,CTD10,16.99,11.26
2016-10-06,CTD11,15.23,10.97
2016-10-06,CTD12,13.19,8.56
2016-10-06,CTD2,,
2016-10-06,CTD3,14.33,5.765
2016-10-06,CTD4,12.645,6.15
2016-10-06,CTD5,0.865,1.4100000000000001
2016-10-06,CTD6,15.065,8.02
2016-10-06,CTD7,16.03,6.35
2016-10-06,CTD8,12.0,10.35
2016-10-06,CTD9,,
2016-10-14,CTD1,23.46,6.05
2016-10-14,CTD10,17.965,12.41
2016-10-14,CTD11,21.48,9.885
2016-10-14,CTD12,19.2,9.47
2016-10-14,CTD2,19.82,6.385
2016-10-14,CTD3,19.09,5.92
2016-10-14,CTD4,17.295,7.185
2016-10-14,CTD5,6.0875,1.8575
2016-10-14,CTD6,21.185,7.535
2016-10-14,CTD7,19.46,10.28
2016-10-14,CTD8,21.575,9.17
2016-10-14,CTD9,,
2016-10-21,CTD1,11.99,5.53
2016-10-21,CTD10,21.355,10.445
2016-10-21,CTD11,11.2,8.34
2016-10-21,CTD12,18.885,6.73
2016-10-21,CTD2,,
2016-10-21,CTD3,15.845,5.17
2016-10-21,CTD4,9.615,6.27
2016-10-21,CTD5,3.4275,1.21
2016-10-21,CTD6,16.545,6.265
2016-10-21,CTD7,17.55,7.415
2016-10-21,CTD8,16.365,7.99
2016-10-21,CTD9,,
2016-10-28,CTD1,9.22,4.27
2016-10-28,CTD10,13.37,7.665
2016-10-28,CTD11,12.91,7.035
2016-10-28,CTD12,20.335,7.195
2016-10-28,CTD2,14.09,5.48
2016-10-28,CTD3,16.695,5.54
2016-10-28,CTD4,18.34,6.06
2016-10-28,CTD5,6.5175,3.5425
2016-10-28,CTD6,12.6,6.27
2016-10-28,CTD7,11.32,9.755
2016-10-28,CTD8,16.145,6.68
2016-10-28,CTD9,,
2016-11-03,CTD1,15.75,7.16
2016-11-03,CTD10,23.335,5.735
2016-11-03,CTD11,26.33,6.3
2016-11-03,CTD12,26.6,4.755
2016-11-03,CTD2,18.275,6.315
2016-11-03,CTD3,21.15,6.425
2016-11-03,CTD4,21.61,5.015
2016-11-03,CTD5,7.49,1.1275
2016-11-03,CTD6,26.485,4.75
2016-11-03,CTD7,17.075,11.05
2016-11-03,CTD8,24.025,8.585
2016-11-03,CTD9,,
2016-11-11,CTD1,9.76,3.83
2016-11-11,CTD10,21.22,6.83
2016-11-11,CTD11,23.685,7.38
2016-11-11,CTD12,22.455,7.725
2016-11-11,CTD2,10.45,4.22
2016-11-11,CTD3,20.005,5.005
2016-11-11,CTD4,19.62,4.455
2016-11-11,CTD5,4.4825,1.75
2016-11-11,CTD6,24.415,5.775
2016-11-11,CTD7,18.83,6.62
2016-11-11,CTD8,22.39,7.675
2016-11-11,CTD9,,
2016-11-18,CTD1,11.03,7.75
2016-11-18,CTD10,26.69,6.985
2016-11-18,CTD11,23.795,6.01
2016-11-18,CTD12,25.525,7.06
2016-11-18,CTD2,23.725,6.605
2016-11-18,CTD3,25.03,5.64
2016-11-18,CTD4,25.365,5.27
2016-11-18,CTD5,7.2375,5.2075
2016-11-18,CTD6,28.525,4.945
2016-11-18,CTD7,21.73,6.89
2016-11-18,CTD8,27.51,9.2
2016-11-18,CTD9,,
2016-11-22,CTD1,35.85,7.24
2016-11-22,CTD10,25.955,6.15
2016-11-22,CTD11,21.335,6.225
2016-11-22,CTD12,30.725,5.15
2016-11-22,CTD2,20.465,5.46
2016-11-22,CTD3,30.275,5.7
2016-11-22,CTD4,30.81,5.47
2016-11-22,CTD5,3.2775,1.375
2016-11-22,CTD6,31.725,4.795
2016-11-22,CTD7,20.855,6.125
2016-11-22,CTD8,30.705,6.925
2016-11-22,CTD9,,
2016-12-02,CTD1,30.12,3.19
2016-12-02,CTD10,23.94,4.565
2016-12-02,CTD11,17.93,4.305
2016-12-02,CTD12,27.76,4.755
2016-12-02,CTD2,28.0,4.73
2016-12-02,CTD3,31.8,3.595
2016-12-02,CTD4,31.42,3.74
2016-12-02,CTD5,9.370000000000001,3.3600000000000003
2016-12-02,CTD6,29.615,4.15
2016-12-02,CTD7,29.915,4.245
2016-12-02,CTD8,30.565,6.065
2016-12-02,CTD9,,
2016-12-13,CTD1,12.37,2.49
2016-12-13,CTD10,26.35,3.57
2016-12-13,CTD11,18.36,3.38
2016-12-13,CTD12,28.93,3.595
2016-12-13,CTD2,31.38,3.64
2016-12-13,CTD3,31.35,3.78
2016-12-13,CTD4,23.035,3.24
2016-12-13,CTD5,4.0675,1.1099999999999999
2016-12-13,CTD6,27.61,3.54
2016-12-13,CTD7,28.99,4.6
2016-12-13,CTD8,25.345,4.26
2016-12-13,CTD9,,
2016-12-21,CTD1,28.26,7.15
2016-12-21,CTD2,25.72,8.57
2016-12-21,CTD3,,
2016-12-21,CTD4,,
2016-12-21,CTD5,0.53,5.05
2016-12-21,CTD6,,
2016-12-21,CTD7,,
2016-12-29,CTD1,,
2016-12-29,CTD2,,
2017-01-12,CTD1,34.96,5.1
2017-01-12,CTD10,44.88,5.1
2017-01-12,CTD11,34.67,5.575
2017-01-12,CTD12,58.775,5.31
2017-01-12,CTD2,61.51,5.09
2017-01-12,CTD3,56.15,4.53
2017-01-12,CTD4,50.955,4.38
2017-01-12,CTD5,11.717500000000001,9.71
2017-01-12,CTD6,59.945,6.1
2017-01-12,CTD7,58.195,6.225
2017-01-12,CTD8,60.19,6.315
2017-01-12,CTD9,,
2017-01-26,CTD1,26.43,3.47
2017-01-26,CTD10,30.835,7.86
2017-01-26,CTD11,23.095,7.98
2017-01-26,CTD12,38.005,7.23
2017-01-26,CTD2,46.18,6.51
2017-01-26,CTD3,41.675,4.99
2017-01-26,CTD4,35.77,4.345
2017-01-26,CTD5,17.3675,3.5374999999999996
2017-01-26,CTD6,40.56,7.17
2017-01-26,CTD7,43.86,7.43
2017-01-26,CTD8,45.65,7.26
2017-01-26,CTD9,,
2017-02-03,CTD1,,
2017-02-03,CTD10,34.405,4.285
2017-02-03,CTD11,13.08,3.23
2017-02-03,CTD12,35.755,4.11
2017-02-03,CTD2,37.505,3.805
2017-02-03,CTD3,35.76,4.035
2017-02-03,CTD4,28.665,3.195
2017-02-03,CTD5,7.705,1.8075
2017-02-03,CTD6,46.99,4.795
2017-02-03,CTD7,49.01,5.35
2017-02-03,CTD8,39.005,4.48
2017-02-03,CTD9,19.66,3.93
2017-02-10,CTD1,59.43,4.1
2017-02-10,CTD10,38.13,6.58
2017-02-10,CTD11,22.75,10.725
2017-02-10,CTD12,46.55,6.27
2017-02-10,CTD2,27.69,4.32
2017-02-10,CTD3,29.17,3.875
2017-02-10,CTD4,12.98,2.925
2017-02-10,CTD5,5.592499999999999,5.66
2017-02-10,CTD6,41.36,5.635
2017-02-10,CTD7,27.69,4.32
2017-02-10,CTD8,48.795,5.595
2017-02-10,CTD9,,
2017-02-16,CTD1,47.13,2.45
2017-02-16,CTD10,32.86,5.66
2017-02-16,CTD11,19.695,4.025
2017-02-16,CTD12,34.2,4.75
2017-02-16,CTD2,28.02,5.18
2017-02-16,CTD3,30.495,5.695
2017-02-16,CTD4,12.845,2.505
2017-02-16,CTD5,5.6525,4.3825
2017-02-16,CTD6,30.78,4.105
2017-02-16,CTD7,31.57,8.675
2017-02-16,CTD8,31.34,4.755
2017-02-16,CTD9,,
2017-02-24,CTD1,14.11,2.59
2017-02-24,CTD10,31.065,13.585
2017-02-24,CTD11,10.905,2.49
2017-02-24,CTD12,16.95,2.53
2017-02-24,CTD2,33.455,3.985
2017-02-24,CTD3,24.59,2.64
2017-02-24,CTD4,18.13,2.725
2017-02-24,CTD5,2.3425000000000002,2.5325
2017-02-24,CTD6,23.97,4.4
2017-02-24,CTD7,27.335,4.415
2017-02-24,CTD8,23.845,7.51
2017-02-24,CTD9,,
2017-03-02,CTD1,3.31,3.28
2017-03-02,CTD10,17.76,3.135
2017-03-02,CTD11,6.7,2.21
2017-03-02,CTD12,19.16,2.66
2017-03-02,CTD2,25.725,4.175
2017-03-02,CTD3,19.085,2.285
2017-03-02,CTD4,10.24,1.6
2017-03-02,CTD5,2.6875,1.1199999999999999
2017-03-02,CTD6,16.525,2.19
2017-03-02,CTD7,22.545,5.09
2017-03-02,CTD8,14.68,2.84
2017-03-02,CTD9,,
2017-03-08,CTD9,,
2017-03-22,CTD1,,2.145
2017-03-22,CTD10,8.265,3.417
2017-03-22,CTD11,3.25,1.4260000000000002
2017-03-22,CTD12,6.905,2.9185
2017-03-22,CTD2,6.19,2.0549999999999997
2017-03-22,CTD3,5.89,1.75
2017-03-22,CTD4,4.445,1.821
2017-03-22,CTD5,2.4775,0.71
2017-03-22,CTD6,8.54,2.3645
2017-03-22,CTD7,9.395,3.6715
2017-03-22,CTD8,9.435,3.6365
2017-03-22,CTD9,,
2017-03-30,CTD1,3.51,4.4495000000000005
2017-03-30,CTD10,4.93,3.1870000000000003
2017-03-30,CTD11,3.65,1.3515000000000001
2017-03-30,CTD12,6.92,2.4825
2017-03-30,CTD2,8.62,2.107
2017-03-30,CTD3,5.8,1.4060000000000001
2017-03-30,CTD4,4.53,1.3239999999999998
2017-03-30,CTD5,3.3899999999999997,0.765
2017-03-30,CTD6,8.725,2.1654999999999998
2017-03-30,CTD7,10.33,4.1825
2017-03-30,CTD8,7.465,3.2115
2017-03-30,CTD9,,
2017-04-05,CTD1,3.14,1.7545
2017-04-05,CTD10,5.935,3.3455
2017-04-05,CTD11,8.06,1.0815000000000001
2017-04-05,CTD12,4.07,1.9665
2017-04-05,CTD2,5.775,1.5705
2017-04-05,CTD3,5.155,1.5755
2017-04-05,CTD4,3.31,1.2374999999999998
2017-04-05,CTD5,2.7675,0.7675
2017-04-05,CTD6,8.265,2.1985
2017-04-05,CTD7,11.285,5.236000000000001
2017-04-05,CTD8,10.525,2.402
2017-04-05,CTD9,,
2017-04-12,CTD1,3.65,7.2395000000000005
2017-04-12,CTD10,5.775,3.0469999999999997
2017-04-12,CTD11,3.5,1.0825
2017-04-12,CTD12,4.905,2.846
2017-04-12,CTD2,10.025,1.8205
2017-04-12,CTD3,10.64,1.7495
2017-04-12,CTD4,5.365,2.106
2017-04-12,CTD5,3.38,1.1825
2017-04-12,CTD6,5.24,2.466
2017-04-12,CTD7,12.285,2.751
2017-04-12,CTD8,11.04,2.1020000000000003
2017-04-12,CTD9,,
2017-04-18,CTD1,4.04,2.6
2017-04-18,CTD10,,
2017-04-18,CTD11,7.64,1.79
2017-04-18,CTD12,6.875,2.055
2017-04-18,CTD2,4.675,1.18
2017-04-18,CTD3,4.895,1.555
2017-04-18,CTD4,,
2017-04-18,CTD5,,
2017-04-18,CTD6,7.635,1.18
2017-04-18,CTD7,4.16,20.44
2017-04-18,CTD8,,
2017-04-18,CTD9,,
2017-04-25,CTD1,,1.5
2017-04-25,CTD10,3.175,1.5615
2017-04-25,CTD11,3.12,1.278
2017-04-25,CTD12,5.155,1.8945
2017-04-25,CTD2,8.265,1.9705
2017-04-25,CTD3,9.125,1.611
2017-04-25,CTD4,4.385,1.604
2017-04-25,CTD5,3.0725,1.3025
2017-04-25,CTD6,5.32,1.9905
2017-04-25,CTD7,5.105,2.4035
2017-04-25,CTD8,6.02,3.137
2017-04-25,CTD9,,
2017-05-04,CTD1,3.41,2.4425
2017-05-04,CTD10,3.62,1.458
2017-05-04,CTD11,3.11,1.8624999999999998
2017-05-04,CTD12,4.095,1.9084999999999999
2017-05-04,CTD2,5.45,1.5245
2017-05-04,CTD3,5.37,1.0635
2017-05-04,CTD4,,1.131
2017-05-04,CTD5,3.0225,1.26
2017-05-04,CTD6,4.555,1.2475
2017-05-04,CTD7,4.215,1.8815
2017-05-04,CTD8,4.88,2.583
2017-05-04,CTD9,,
2017-05-10,CTD1,4.61,2.32
2017-05-10,CTD10,4.845,1.745
2017-05-10,CTD11,4.64,1.82
2017-05-10,CTD12,4.725,1.08
2017-05-10,CTD2,5.635,1.48
2017-05-10,CTD3,4.26,1.05
2017-05-10,CTD4,4.455,1.955
2017-05-10,CTD5,3.35,0.44499999999999995
