Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Value
2021-04-20,CTD1,37.8118,-0.784483,10,10,10,5,6,5,5,5,4,3,3,3,255,0.50004536
2021-04-20,CTD2,37.760617,-0.8078,10,10,9,7,6,6,6,5,5,4,4,3,255,0.88587165
2021-04-20,CTD3,37.761783,-0.78355,11,11,10,6,7,6,6,5,6,5,4,4,255,0.73452246
2021-04-20,CTD4,37.748233,-0.749617,8,9,9,4,3,3,3,2,2,3,2,2,255,0.39183956
2021-04-20,CTD6,37.710417,-0.778383,8,9,7,5,5,4,4,4,3,3,3,2,255,0.49630633
2021-04-20,CTD7,37.718,-0.839783,10,11,10,6,6,6,6,5,5,3,4,3,255,1.0784863
2021-04-20,CTD8,37.694517,-0.8104,8,9,8,4,4,4,4,3,3,2,2,2,255,0.866019
2021-04-20,CTD10,37.659833,-0.781967,7,7,7,3,3,3,3,2,2,1,1,1,255,0.73360384
2021-04-20,CTD11,37.6518,-0.728883,7,8,8,2,2,1,1,1,1,0,1,1,255,0.30465078
2021-04-20,CTD12,37.68735,-0.783783,8,8,7,4,4,4,4,4,3,2,2,2,255,0.6754877
2024-07-18,CTD1,37.8118,-0.784483,5,11,19,18,21,20,21,21,22,26,24,19,255,0.2807762
2024-07-18,CTD2,37.760617,-0.8078,9,15,20,20,22,22,23,21,23,27,22,18,255,0.40501642
2024-07-18,CTD3,37.761783,-0.78355,8,12,20,18,20,18,18,19,19,24,18,15,255,0.3447618
2024-07-18,CTD4,37.748233,-0.749617,4,10,16,15,16,15,15,15,16,22,17,14,255,0.33711067
2024-07-18,CTD6,37.710417,-0.778383,6,12,17,17,19,18,18,17,18,23,17,15,255,0.34490493
2024-07-18,CTD7,37.718,-0.839783,14,23,34,23,25,23,24,24,25,27,22,18,255,0.59268147
2024-07-18,CTD8,37.694517,-0.8104,10,18,25,20,22,21,21,21,21,26,20,16,255,0.48330697
2024-07-18,CTD10,37.659833,-0.781967,7,13,20,20,21,21,21,21,22,26,22,18,255,0.5094639
2024-07-18,CTD11,37.6518,-0.728883,10,16,22,21,22,21,21,21,22,27,20,17,255,0.570022
2024-07-18,CTD12,37.68735,-0.783783,9,15,20,18,20,19,20,19,20,25,19,16,255,0.40536878
2021-08-13,CTD1,37.8118,-0.784483,3,7,12,9,9,8,8,9,9,8,11,9,255,1.7432369
2021-08-13,CTD2,37.760617,-0.8078,6,9,12,12,11,10,11,11,10,9,11,8,255,3.782475
2021-08-13,CTD3,37.761783,-0.78355,5,7,12,11,10,9,10,9,9,8,9,7,255,2.7012694
2021-08-13,CTD4,37.748233,-0.749617,1,7,9,7,6,6,6,8,6,6,8,7,255,1.2208421
2021-08-13,CTD6,37.710417,-0.778383,5,9,11,11,11,9,9,9,9,9,9,7,255,3.5155735
2021-08-13,CTD7,37.718,-0.839783,7,11,18,14,14,11,12,12,12,10,10,8,255,5.827382
2021-08-13,CTD8,37.694517,-0.8104,52,82,78,68,73,67,64,70,62,54,61,42,255,5.276727
2021-08-13,CTD10,37.659833,-0.781967,6,9,12,12,13,11,11,11,11,10,11,9,255,4.874854
2021-08-13,CTD11,37.6518,-0.728883,5,9,12,12,11,10,11,11,11,11,11,9,255,2.6699228
2021-08-13,CTD12,37.68735,-0.783783,6,9,13,12,12,10,10,10,10,8,9,9,255,4.390006
2022-02-24,CTD1,37.8118,-0.784483,0,0,0,0,0,0,0,0,0,0,3,3,255,0.54619133
2022-02-24,CTD2,37.760617,-0.8078,0,0,1,0,1,1,2,1,2,0,3,3,255,0.2494192
2022-02-24,CTD3,37.761783,-0.78355,0,1,2,0,0,1,1,1,1,0,2,2,255,0.54132855
2022-02-24,CTD4,37.748233,-0.749617,0,0,0,0,0,0,0,0,0,0,2,2,255,0.5929802
2022-02-24,CTD6,37.710417,-0.778383,0,0,3,0,0,0,1,0,1,0,2,2,255,0.35555
2022-02-24,CTD7,37.718,-0.839783,5,14,19,5,4,3,3,3,3,1,3,2,255,0.60634696
2022-02-24,CTD8,37.694517,-0.8104,0,2,4,0,0,0,1,0,1,0,2,2,255,0.29436514
2022-02-24,CTD10,37.659833,-0.781967,0,3,6,0,1,1,1,1,2,0,3,3,255,0.36279133
2022-02-24,CTD11,37.6518,-0.728883,1,4,5,2,2,2,3,2,3,2,3,3,255,0.43915802
2022-02-24,CTD12,37.68735,-0.783783,0,2,4,0,0,0,0,1,1,0,2,2,255,0.3032835
2021-11-11,CTD1,37.8118,-0.784483,1,1,4,0,0,0,0,0,0,0,0,0,255,1.1608679
2021-11-11,CTD2,37.760617,-0.8078,2,1,3,0,0,0,0,0,0,0,0,0,255,1.4420379
2021-11-11,CTD3,37.761783,-0.78355,2,3,3,0,0,0,0,0,0,0,0,0,255,1.2058713
2021-11-11,CTD4,37.748233,-0.749617,2,3,4,0,0,0,0,0,0,0,0,0,255,0.74231786
2021-11-11,CTD6,37.710417,-0.778383,2,3,5,1,0,0,0,0,0,0,0,0,255,1.0052642
2021-11-11,CTD7,37.718,-0.839783,4,6,12,3,2,1,1,0,0,0,0,0,255,1.5915983
2021-11-11,CTD8,37.694517,-0.8104,4,5,9,2,1,0,0,0,0,0,0,0,255,1.2566614
2021-11-11,CTD10,37.659833,-0.781967,2,3,5,1,0,0,0,0,0,0,0,0,255,1.1505055
2021-11-11,CTD11,37.6518,-0.728883,0,1,3,0,0,0,0,0,0,0,0,0,255,0.74143213
2021-11-11,CTD12,37.68735,-0.783783,2,3,5,1,0,0,0,0,0,0,0,0,255,0.89332867
2023-05-25,CTD1,37.8118,-0.784483,14,16,19,16,16,15,15,15,15,13,16,14,255,0.12746467
2023-05-25,CTD2,37.760617,-0.8078,18,21,23,18,19,19,18,19,18,16,18,15,255,0.22010858
2023-05-25,CTD3,37.761783,-0.78355,17,20,22,19,21,19,18,19,18,17,18,16,255,0.2388831
2023-05-25,CTD4,37.748233,-0.749617,17,22,23,19,19,18,18,19,18,15,19,16,255,0.24154589
2023-05-25,CTD6,37.710417,-0.778383,15,17,18,15,16,15,15,16,15,13,15,13,255,0.40274295
2023-05-25,CTD7,37.718,-0.839783,17,23,28,15,15,15,14,14,14,12,14,11,255,0.2198898
2023-05-25,CTD8,37.694517,-0.8104,18,22,26,18,18,17,16,17,16,13,15,13,255,0.32054618
2023-05-25,CTD10,37.659833,-0.781967,13,15,20,14,14,13,13,14,13,11,13,11,255,0.7639528
2023-05-25,CTD11,37.6518,-0.728883,21,19,22,16,15,15,15,15,16,16,16,15,255,0.41509876
2023-05-25,CTD12,37.68735,-0.783783,16,21,23,18,18,16,16,16,16,13,16,14,255,0.52917284
2024-07-03,CTD1,37.8118,-0.784483,20,22,23,19,20,18,18,17,19,13,18,16,255,0.32152084
2024-07-03,CTD2,37.760617,-0.8078,21,25,24,21,21,19,19,19,18,14,18,16,255,0.3982705
2024-07-03,CTD3,37.761783,-0.78355,22,25,25,21,21,20,20,20,19,15,19,17,255,0.32773733
2024-07-03,CTD4,37.748233,-0.749617,19,23,24,18,19,18,18,17,17,13,17,15,255,0.22653377
2024-07-03,CTD6,37.710417,-0.778383,20,24,23,18,19,18,19,18,17,14,17,16,255,0.32659432
2024-07-03,CTD7,37.718,-0.839783,21,26,30,20,19,18,18,17,16,13,17,14,255,0.4388643
2024-07-03,CTD8,37.694517,-0.8104,25,33,38,24,22,19,19,19,18,14,17,15,255,0.38043264
2024-07-03,CTD10,37.659833,-0.781967,19,21,22,18,17,16,16,15,15,12,15,14,255,0.37817883
2024-07-03,CTD11,37.6518,-0.728883,22,23,26,21,21,19,20,18,19,17,19,18,255,0.5087247
2024-07-03,CTD12,37.68735,-0.783783,20,22,23,18,19,17,17,17,17,13,17,15,255,0.34986728
2023-07-19,CTD1,37.8118,-0.784483,13,19,21,20,21,20,20,21,20,20,21,18,255,0.24455777
2023-07-19,CTD2,37.760617,-0.8078,16,20,23,19,21,20,20,20,20,19,20,17,255,0.38002437
2023-07-19,CTD3,37.761783,-0.78355,16,21,23,20,20,19,20,19,19,19,18,17,255,0.3166107
2023-07-19,CTD4,37.748233,-0.749617,13,21,22,17,17,16,17,17,17,15,16,14,255,0.2426861
2023-07-19,CTD6,37.710417,-0.778383,12,15,19,17,17,16,17,16,16,17,16,14,255,0.2691012
2023-07-19,CTD7,37.718,-0.839783,18,26,31,21,21,19,20,20,20,19,18,15,255,0.5625793
2023-07-19,CTD8,37.694517,-0.8104,15,21,24,19,20,18,19,18,18,17,17,15,255,0.49068075
2023-07-19,CTD10,37.659833,-0.781967,14,18,21,18,19,18,19,18,18,18,18,16,255,0.43750653
2023-07-19,CTD11,37.6518,-0.728883,14,19,22,19,18,16,17,16,16,17,17,16,255,0.35298437
2023-07-19,CTD12,37.68735,-0.783783,13,18,19,17,18,17,17,17,17,17,16,15,255,0.36372596
2021-06-14,CTD1,37.8118,-0.784483,6,9,15,14,15,14,15,16,15,18,17,14,255,0.31781733
2021-06-14,CTD2,37.760617,-0.8078,12,13,18,17,18,18,18,18,18,21,18,15,255,0.4038726
2021-06-14,CTD3,37.761783,-0.78355,12,15,19,17,18,17,17,17,17,20,16,14,255,0.28232992
2021-06-14,CTD4,37.748233,-0.749617,10,13,16,14,16,15,15,15,15,19,16,14,255,0.27484292
2021-06-14,CTD6,37.710417,-0.778383,12,15,19,17,17,17,17,17,17,20,16,14,255,0.44968775
2021-06-14,CTD7,37.718,-0.839783,13,17,23,18,19,18,19,19,19,21,17,15,255,0.8596242
2021-06-14,CTD8,37.694517,-0.8104,12,16,20,18,18,18,18,19,18,20,17,15,255,0.45906115
2021-06-14,CTD10,37.659833,-0.781967,12,16,21,18,19,19,19,19,19,21,18,16,255,0.70576906
2021-06-14,CTD11,37.6518,-0.728883,17,15,20,16,17,17,17,16,17,20,18,16,255,0.70170283
2021-06-14,CTD12,37.68735,-0.783783,12,15,19,17,18,17,18,17,17,21,17,15,255,0.6214718
2022-08-03,CTD1,37.8118,-0.784483,8,9,10,5,5,4,4,4,3,2,3,3,255,0.28230453
2022-08-03,CTD2,37.760617,-0.8078,9,11,10,6,5,5,5,4,4,2,3,3,255,0.42642525
2022-08-03,CTD3,37.761783,-0.78355,8,8,7,4,3,3,3,2,2,2,1,1,255,0.47349787
2022-08-03,CTD4,37.748233,-0.749617,7,8,7,4,3,2,3,3,2,2,2,2,255,0.54896015
2022-08-03,CTD6,37.710417,-0.778383,8,9,9,5,4,3,3,3,3,2,2,2,255,0.5171255
2022-08-03,CTD7,37.718,-0.839783,12,15,19,9,6,5,6,5,5,3,3,3,255,0.390285
2022-08-03,CTD8,37.694517,-0.8104,11,12,14,8,7,5,5,5,5,3,4,4,255,0.43422082
2022-08-03,CTD10,37.659833,-0.781967,10,12,12,8,7,6,7,6,6,4,5,5,255,0.47486645
2022-08-03,CTD11,37.6518,-0.728883,9,8,8,5,5,4,5,4,5,3,5,4,255,0.7181197
2022-08-03,CTD12,37.68735,-0.783783,11,13,14,7,6,4,4,4,4,2,3,3,255,0.4870474
2022-07-14,CTD1,37.8118,-0.784483,13,18,19,14,15,13,14,13,12,7,10,8,255,0.35272765
2022-07-14,CTD2,37.760617,-0.8078,15,18,18,14,14,13,12,13,11,8,10,8,255,0.30037916
2022-07-14,CTD3,37.761783,-0.78355,10,10,10,5,4,4,4,3,3,3,1,1,255,0.44245014
2022-07-14,CTD4,37.748233,-0.749617,9,9,8,3,3,2,2,2,1,2,1,1,255,0.30756235
2022-07-14,CTD6,37.710417,-0.778383,14,16,17,11,10,9,9,11,8,8,7,7,255,0.4552756
2022-07-14,CTD7,37.718,-0.839783,17,22,24,13,13,11,12,11,10,8,8,7,255,0.51364714
2022-07-14,CTD8,37.694517,-0.8104,16,18,19,14,14,12,12,13,12,10,11,9,255,0.5979768
2022-07-14,CTD10,37.659833,-0.781967,15,19,19,14,13,12,12,13,11,10,10,9,255,0.62166697
2022-07-14,CTD11,37.6518,-0.728883,11,10,10,5,5,5,5,4,5,5,4,4,255,0.7432123
2022-07-14,CTD12,37.68735,-0.783783,16,19,19,13,12,11,11,12,10,8,9,8,255,0.52984565
2021-08-03,CTD1,37.8118,-0.784483,8,8,10,6,6,5,5,5,5,5,5,4,255,0.5818081
2021-08-03,CTD2,37.760617,-0.8078,11,11,11,9,9,8,8,8,7,7,6,6,255,1.1327738
2021-08-03,CTD3,37.761783,-0.78355,12,13,14,10,10,9,9,9,8,8,7,6,255,1.3923415
2021-08-03,CTD4,37.748233,-0.749617,8,8,9,7,7,5,5,5,5,4,5,5,255,1.6707358
2021-08-03,CTD6,37.710417,-0.778383,10,10,12,10,9,8,8,8,7,7,7,6,255,2.467102
2021-08-03,CTD7,37.718,-0.839783,13,15,21,15,14,10,9,10,9,7,7,7,255,4.705045
2021-08-03,CTD8,37.694517,-0.8104,10,10,12,9,9,8,8,8,8,7,7,6,255,2.7365131
2021-08-03,CTD10,37.659833,-0.781967,10,11,13,10,10,9,9,8,8,7,8,7,255,4.5320554
2021-08-03,CTD11,37.6518,-0.728883,10,10,11,8,7,7,6,6,6,6,5,5,255,4.482058
2021-08-03,CTD12,37.68735,-0.783783,11,11,13,10,11,10,10,9,9,7,8,7,255,3.3761013
2023-03-16,CTD1,37.8118,-0.784483,1,0,2,0,0,0,0,0,0,0,0,1,255,0.39080444
2023-03-16,CTD2,37.760617,-0.8078,3,2,4,1,0,0,0,0,0,0,1,1,255,0.34445453
2023-03-16,CTD3,37.761783,-0.78355,3,4,5,1,0,0,0,1,0,0,0,0,255,0.3503603
2023-03-16,CTD4,37.748233,-0.749617,2,4,6,0,0,0,0,0,0,0,0,0,255,0.34172538
2023-03-16,CTD6,37.710417,-0.778383,3,2,3,1,0,0,0,0,0,0,0,0,255,0.29844007
2023-03-16,CTD7,37.718,-0.839783,9,13,17,3,1,0,1,1,1,0,1,0,255,0.2911828
2023-03-16,CTD8,37.694517,-0.8104,3,4,5,0,0,0,0,0,0,0,0,0,255,0.2753493
2023-03-16,CTD10,37.659833,-0.781967,2,2,3,0,0,0,0,0,0,0,1,1,255,0.24549241
2023-03-16,CTD11,37.6518,-0.728883,2,4,5,0,0,0,0,0,0,0,0,0,255,0.23355766
2023-03-16,CTD12,37.68735,-0.783783,3,3,4,1,0,0,0,0,0,0,0,1,255,0.2723489
2021-12-01,CTD1,37.8118,-0.784483,2,2,3,0,0,0,0,0,0,0,0,0,255,0.39252424
2021-12-01,CTD2,37.760617,-0.8078,3,3,3,0,0,1,0,0,0,0,0,0,255,0.5007021
2021-12-01,CTD3,37.761783,-0.78355,3,2,3,1,1,0,0,0,0,0,0,0,255,0.56181693
2021-12-01,CTD4,37.748233,-0.749617,2,2,4,0,0,0,0,0,0,0,0,0,255,0.6383011
2021-12-01,CTD6,37.710417,-0.778383,3,4,7,1,0,0,1,0,0,0,0,1,255,0.61726975
2021-12-01,CTD7,37.718,-0.839783,5,7,12,2,2,1,1,0,1,0,0,0,255,0.7745189
2021-12-01,CTD8,37.694517,-0.8104,3,4,7,1,1,0,0,0,0,0,0,0,255,0.9297711
2021-12-01,CTD10,37.659833,-0.781967,5,6,11,3,3,1,2,1,1,0,0,1,255,1.458819
2021-12-01,CTD11,37.6518,-0.728883,1,4,6,0,0,0,0,0,0,0,0,0,255,0.6219557
2021-12-01,CTD12,37.68735,-0.783783,3,5,7,1,1,1,1,0,0,0,0,1,255,0.8505243
2023-09-07,CTD1,37.8118,-0.784483,3,5,4,1,1,0,1,1,1,0,3,2,255,0.5013598
2023-09-07,CTD2,37.760617,-0.8078,6,9,9,3,2,2,2,2,2,0,3,2,255,0.41344184
2023-09-07,CTD3,37.761783,-0.78355,5,7,7,3,3,2,2,2,2,0,3,2,255,0.50211537
2023-09-07,CTD4,37.748233,-0.749617,8,8,7,6,5,4,5,5,4,11,7,7,255,0.7465941
2023-09-07,CTD6,37.710417,-0.778383,6,7,7,4,3,3,3,3,3,0,3,3,255,0.7348952
2023-09-07,CTD7,37.718,-0.839783,10,17,20,7,5,3,3,3,3,0,3,3,255,0.63474894
2023-09-07,CTD8,37.694517,-0.8104,10,15,19,6,4,2,3,2,2,0,2,2,255,0.6928949
2023-09-07,CTD10,37.659833,-0.781967,4,6,6,2,2,2,2,2,2,0,3,3,255,0.50630295
2023-09-07,CTD11,37.6518,-0.728883,7,8,8,3,3,3,3,2,2,0,3,2,255,0.71888906
2023-09-07,CTD12,37.68735,-0.783783,7,9,10,4,3,3,3,2,2,0,2,2,255,0.6817377
2024-04-24,CTD1,37.8118,-0.784483,9,10,10,7,7,7,7,7,6,5,6,6,255,0.50390005
2024-04-24,CTD2,37.760617,-0.8078,10,11,11,7,7,6,7,7,6,5,6,5,255,0.6759697
2024-04-24,CTD3,37.761783,-0.78355,10,10,10,6,6,5,6,6,5,4,5,4,255,0.34630415
2024-04-24,CTD4,37.748233,-0.749617,7,9,9,4,3,3,3,3,3,2,3,2,255,0.40447477
2024-04-24,CTD6,37.710417,-0.778383,9,10,9,6,6,5,6,6,5,5,5,4,255,0.36165074
2024-04-24,CTD7,37.718,-0.839783,20,27,32,15,12,7,8,8,6,5,6,5,255,0.93076944
2024-04-24,CTD8,37.694517,-0.8104,11,14,13,7,6,6,6,7,5,5,5,4,255,0.55977947
2024-04-24,CTD10,37.659833,-0.781967,8,10,9,6,6,5,5,5,5,4,5,4,255,0.38500494
2024-04-24,CTD11,37.6518,-0.728883,10,12,12,6,6,5,6,5,6,5,5,5,255,0.39974198
2024-04-24,CTD12,37.68735,-0.783783,8,9,9,5,5,5,5,5,4,4,4,4,255,0.3513274
2023-01-10,CTD1,37.8118,-0.784483,2,3,2,1,0,0,0,0,0,0,0,0,255,1.08881
2023-01-10,CTD2,37.760617,-0.8078,2,4,3,1,0,0,0,0,0,0,0,0,255,0.95773035
2023-01-10,CTD3,37.761783,-0.78355,2,3,3,0,0,0,0,0,0,0,0,0,255,1.0624008
2023-01-10,CTD4,37.748233,-0.749617,2,5,4,0,0,0,0,0,0,0,0,0,255,1.0809665
2023-01-10,CTD6,37.710417,-0.778383,2,5,3,1,0,0,0,0,0,0,0,0,255,0.9747236
2023-01-10,CTD7,37.718,-0.839783,6,12,16,3,2,0,0,0,0,0,0,0,255,0.9887288
2023-01-10,CTD8,37.694517,-0.8104,4,7,8,1,1,0,1,0,0,0,0,0,255,0.99804574
2023-01-10,CTD10,37.659833,-0.781967,1,2,2,0,0,0,0,0,0,0,0,0,255,0.73515594
2023-01-10,CTD11,37.6518,-0.728883,6,7,5,1,0,0,0,0,0,0,0,0,255,0.4052727
2023-01-10,CTD12,37.68735,-0.783783,2,4,3,0,1,0,0,0,0,0,0,0,255,0.89377505
2021-07-14,CTD1,37.8118,-0.784483,16,16,18,14,15,13,13,13,13,11,13,12,255,0.34043586
2021-07-14,CTD2,37.760617,-0.8078,17,17,18,15,15,14,14,14,14,11,13,11,255,0.631312
2021-07-14,CTD3,37.761783,-0.78355,17,17,18,14,15,14,14,14,13,11,13,11,255,0.63732404
2021-07-14,CTD4,37.748233,-0.749617,16,16,16,13,13,12,12,12,11,10,12,10,255,0.67908245
2021-07-14,CTD6,37.710417,-0.778383,15,14,17,13,14,13,12,12,12,10,11,10,255,0.8706559
2021-07-14,CTD7,37.718,-0.839783,21,24,31,21,19,15,14,14,14,11,12,11,255,0.7147829
2021-07-14,CTD8,37.694517,-0.8104,16,16,18,15,15,13,13,13,13,10,12,11,255,0.775945
2021-07-14,CTD10,37.659833,-0.781967,16,16,17,15,15,13,13,13,13,10,12,11,255,0.63584113
2021-07-14,CTD11,37.6518,-0.728883,21,21,24,20,20,19,19,18,19,16,18,17,255,0.5742116
2021-07-14,CTD12,37.68735,-0.783783,16,16,17,16,15,14,14,14,13,11,13,12,255,0.7780556
2022-09-07,CTD1,37.8118,-0.784483,7,7,8,5,6,4,5,4,5,3,5,4,255,1.0152109
2022-09-07,CTD2,37.760617,-0.8078,7,7,8,5,5,4,4,4,4,2,3,3,255,0.6310208
2022-09-07,CTD3,37.761783,-0.78355,7,8,8,4,4,4,4,4,3,2,3,3,255,0.5629953
2022-09-07,CTD4,37.748233,-0.749617,5,5,6,3,3,2,2,2,2,1,2,2,255,0.41993636
2022-09-07,CTD6,37.710417,-0.778383,6,7,7,3,3,2,2,2,2,1,2,1,255,0.5117411
2022-09-07,CTD7,37.718,-0.839783,17,23,29,14,10,5,5,5,3,2,2,2,255,0.5381151
2022-09-07,CTD8,37.694517,-0.8104,9,12,17,7,5,3,3,2,2,2,2,1,255,0.5646709
2022-09-07,CTD10,37.659833,-0.781967,6,6,7,3,3,2,2,2,3,2,2,2,255,0.6051927
2022-09-07,CTD11,37.6518,-0.728883,4,4,6,3,2,2,2,2,2,1,2,2,255,0.33252716
2022-09-07,CTD12,37.68735,-0.783783,7,8,10,4,3,2,3,2,2,1,2,2,255,0.59705013
2023-03-01,CTD1,37.8118,-0.784483,5,6,5,2,2,2,2,1,1,0,1,1,255,0.31646562
2023-03-01,CTD2,37.760617,-0.8078,6,7,5,2,2,2,1,2,1,0,1,1,255,0.36660936
2023-03-01,CTD3,37.761783,-0.78355,6,7,7,2,2,1,2,1,1,0,1,1,255,0.4390264
2023-03-01,CTD4,37.748233,-0.749617,9,11,12,4,3,1,1,1,1,0,1,1,255,0.31187
2023-03-01,CTD6,37.710417,-0.778383,6,8,7,2,1,1,1,1,1,0,1,1,255,0.22072518
2023-03-01,CTD7,37.718,-0.839783,9,14,15,3,2,2,2,2,2,1,1,0,255,0.21581104
2023-03-01,CTD8,37.694517,-0.8104,12,18,19,5,3,2,2,1,1,0,1,0,255,0.17137232
2023-03-01,CTD10,37.659833,-0.781967,7,9,9,3,2,2,2,2,1,0,1,0,255,0.10394127
2023-03-01,CTD11,37.6518,-0.728883,9,12,11,4,3,2,2,2,1,1,1,1,255,0.1281166
2023-03-01,CTD12,37.68735,-0.783783,6,7,7,2,2,1,2,1,1,0,1,1,255,0.15581311
2023-09-27,CTD1,37.8118,-0.784483,5,5,5,2,1,0,1,1,0,0,1,1,255,0.63505304
2023-09-27,CTD2,37.760617,-0.8078,6,6,5,1,1,1,1,1,1,0,1,0,255,0.80525243
2023-09-27,CTD3,37.761783,-0.78355,5,6,5,2,1,1,1,0,1,0,0,0,255,0.66906637
2023-09-27,CTD4,37.748233,-0.749617,3,5,6,1,1,1,1,1,0,0,1,1,255,0.4373632
2023-09-27,CTD6,37.710417,-0.778383,4,5,4,1,1,0,1,0,0,0,0,0,255,0.26406893
2023-09-27,CTD7,37.718,-0.839783,6,10,12,3,2,1,1,1,1,0,0,1,255,0.6211726
2023-09-27,CTD8,37.694517,-0.8104,10,14,18,6,4,1,1,1,1,0,0,1,255,0.4119516
2023-09-27,CTD10,37.659833,-0.781967,5,6,5,1,1,1,1,1,0,0,1,0,255,0.41891047
2023-09-27,CTD11,37.6518,-0.728883,7,8,8,2,2,1,1,1,1,0,1,1,255,0.5438913
2023-09-27,CTD12,37.68735,-0.783783,5,5,5,1,1,0,1,0,0,0,0,0,255,0.32690275
2023-11-16,CTD1,37.8118,-0.784483,26,36,37,33,37,32,27,44,25,52,41,35,255,0.11915114
2023-11-16,CTD2,37.760617,-0.8078,6,6,5,2,2,1,2,1,1,0,1,1,255,0.5088414
2023-11-16,CTD3,37.761783,-0.78355,4,5,4,1,1,1,1,0,1,0,0,0,255,0.38899976
2023-11-16,CTD4,37.748233,-0.749617,5,6,6,2,1,0,1,0,0,0,0,0,255,0.33754364
2023-11-16,CTD6,37.710417,-0.778383,5,7,6,2,1,1,1,0,0,0,1,0,255,0.85278326
2023-11-16,CTD7,37.718,-0.839783,7,12,15,3,2,1,1,1,1,0,0,1,255,0.63305265
2023-11-16,CTD8,37.694517,-0.8104,6,10,13,3,2,1,1,0,1,0,0,1,255,0.59785515
2023-11-16,CTD10,37.659833,-0.781967,3,3,5,1,1,0,1,0,0,0,1,1,255,0.5599329
