Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Chl
2017-06-30,CTD1,37.8118,-0.784483,0.038,0.0486,0.0527,0.0259,0.0225,0.0164,0.0163,0.0169,0.015,0.0121,0.0149,0.0125,6.0,0.9915965333333334
2017-06-30,CTD2,37.760617,-0.8078,0.0605,0.0771,0.082,0.0608,0.0544,0.0515,0.0493,0.0547,0.0462,0.0411,0.0462,0.0415,6.0,1.1955854125
2017-06-30,CTD3,37.761783,-0.78355,0.0623,0.0749,0.0759,0.0594,0.0577,0.0544,0.0558,0.0616,0.0526,0.0446,0.0501,0.0457,6.0,1.5234733125
2017-06-30,CTD4,37.748233,-0.749617,0.0601,0.0736,0.078,0.0569,0.0567,0.0503,0.0501,0.054,0.0486,0.0416,0.048,0.0428,6.0,1.5401894875
2017-06-30,CTD6,37.710417,-0.778383,0.0723,0.0842,0.0898,0.0703,0.0671,0.0629,0.0639,0.0673,0.0629,0.0534,0.0582,0.0534,6.0,1.7752051875000001
2017-06-30,CTD7,37.718,-0.839783,0.0764,0.0974,0.1052,0.0762,0.0715,0.066,0.0657,0.0688,0.0619,0.0546,0.0582,0.0526,6.0,2.620511
2017-06-30,CTD8,37.694517,-0.8104,0.074,0.0884,0.0935,0.072,0.0704,0.0647,0.0661,0.0665,0.0627,0.0551,0.0606,0.0548,6.0,1.27311476125
2017-06-30,CTD10,37.659833,-0.781967,0.0735,0.0884,0.0875,0.0699,0.0712,0.0679,0.0671,0.0688,0.0643,0.0551,0.0627,0.0557,6.0,0.8001469842857142
2017-06-30,CTD11,37.6518,-0.728883,0.1002,0.0987,0.1036,0.0878,0.0893,0.0857,0.0863,0.0821,0.085,0.0849,0.0816,0.0773,6.0,1.1225326566666667
2017-06-30,CTD12,37.68735,-0.783783,0.0747,0.0872,0.0942,0.0754,0.0727,0.0637,0.066,0.0672,0.0631,0.0547,0.0602,0.0563,6.0,1.4179599875
2018-01-31,CTD1,37.8118,-0.784483,0.0,0.0117,0.0243,0.0124,0.0055,0.0015,0.0039,0.0118,0.0068,0.0,0.012,0.0111,6.0,3.472369366666667
