Date,Buoy,Chl
2017-05-19,CTD1,0.645
2017-05-19,CTD10,0.544
2017-05-19,CTD11,0.516
2017-05-19,CTD12,0.549
2017-05-19,CTD2,1.885
2017-05-19,CTD3,0.222
2017-05-19,CTD4,0.562
2017-05-19,CTD6,0.676
2017-05-19,CTD7,0.589
2017-05-19,CTD8,0.518
2017-05-24,CTD1,0.662
2017-05-24,CTD10,0.419
2017-05-24,CTD11,0.154
2017-05-24,CTD12,0.571
2017-05-24,CTD2,0.953
2017-05-24,CTD3,1.14
2017-05-24,CTD4,0.172
2017-05-24,CTD6,0.875
2017-05-24,CTD7,1.207
2017-05-24,CTD8,0.838
2017-06-02,CTD1,1.256
2017-06-02,CTD10,0.71
2017-06-02,CTD11,0.782
2017-06-02,CTD12,1.08
2017-06-02,CTD2,2.284
2017-06-02,CTD3,0.129
2017-06-02,CTD4,0.555
2017-06-02,CTD6,1.105
2017-06-02,CTD7,1.263
2017-06-02,CTD8,0.589
2017-06-06,CTD1,0.599
2017-06-06,CTD10,1.26
2017-06-06,CTD11,1.194
2017-06-06,CTD12,0.654
2017-06-06,CTD2,1.926
2017-06-06,CTD3,0.64
2017-06-06,CTD4,0.592
2017-06-06,CTD6,0.698
2017-06-06,CTD7,0.653
2017-06-06,CTD8,0.846
2017-06-13,CTD1,0.833
2017-06-13,CTD10,1.409
2017-06-13,CTD11,0.51
2017-06-13,CTD12,1.297
2017-06-13,CTD2,1.107
2017-06-13,CTD3,1.31
2017-06-13,CTD4,0.761
2017-06-13,CTD6,0.647
2017-06-13,CTD7,1.452
2017-06-13,CTD8,0.821
2017-06-21,CTD1,1.124
2017-06-21,CTD10,0.365
2017-06-21,CTD11,0.552
2017-06-21,CTD12,0.759
2017-06-21,CTD2,1.085
2017-06-21,CTD3,1.149
2017-06-21,CTD4,1.223
2017-06-21,CTD6,0.567
2017-06-21,CTD7,0.136
2017-06-21,CTD8,0.663
2017-06-30,CTD1,0.963
2017-06-30,CTD10,0.683
2017-06-30,CTD11,0.963
2017-06-30,CTD12,0.634
2017-06-30,CTD2,0.72
2017-06-30,CTD3,1.1
2017-06-30,CTD4,1.122
2017-06-30,CTD6,0.393
2017-06-30,CTD7,1.781
2017-06-30,CTD8,0.759
2017-07-05,CTD1,0.54
2017-07-05,CTD10,0.881
2017-07-05,CTD11,1.147
2017-07-05,CTD12,1.308
2017-07-05,CTD2,2.2
2017-07-05,CTD3,1.374
2017-07-05,CTD4,0.966
2017-07-05,CTD6,1.223
2017-07-05,CTD7,2.324
2017-07-05,CTD8,1.006
2017-07-12,CTD1,0.618
2017-07-12,CTD10,2.373
2017-07-12,CTD11,3.717
2017-07-12,CTD12,1.782
2017-07-12,CTD2,1.498
2017-07-12,CTD3,1.709
2017-07-12,CTD4,0.718
2017-07-12,CTD6,1.862
2017-07-12,CTD7,1.586
2017-07-12,CTD8,1.334
2017-07-19,CTD1,1.349
2017-07-19,CTD10,2.178
2017-07-19,CTD11,2.247
2017-07-19,CTD12,0.594
2017-07-19,CTD2,3.066
2017-07-19,CTD3,1.683
2017-07-19,CTD4,0.604
2017-07-19,CTD6,1.753
2017-07-19,CTD7,0.151
2017-07-19,CTD8,0.325
2017-07-26,CTD1,0.667
2017-07-26,CTD10,0.759
2017-07-26,CTD11,1.174
2017-07-26,CTD12,1.61
2017-07-26,CTD2,0.18
2017-07-26,CTD3,1.108
2017-07-26,CTD4,1.269
2017-07-26,CTD6,1.758
2017-07-26,CTD7,3.197
2017-07-26,CTD8,1.615
2017-08-30,CTD1,5.102
2017-08-30,CTD10,8.005
2017-08-30,CTD11,8.139
2017-08-30,CTD12,8.292
2017-08-30,CTD2,7.226
2017-08-30,CTD3,5.702
2017-08-30,CTD4,5.771
2017-08-30,CTD6,5.607
2017-08-30,CTD7,0.265
2017-08-30,CTD8,5.267
2017-09-06,CTD1,0.15
2017-09-06,CTD10,0.029
2017-09-06,CTD11,0.193
2017-09-06,CTD12,0.849
2017-09-06,CTD2,0.253
2017-09-06,CTD3,0.327
2017-09-06,CTD4,0.869
2017-09-06,CTD6,6.586
2017-09-06,CTD7,0.226
2017-09-06,CTD8,1.051
2017-09-11,CTD1,1.803
2017-09-11,CTD10,3.585
2017-09-11,CTD11,5.033
2017-09-11,CTD12,6.214
2017-09-11,CTD2,2.582
2017-09-11,CTD3,2.335
2017-09-11,CTD4,1.722
2017-09-11,CTD6,5.551
2017-09-11,CTD7,2.322
2017-09-11,CTD8,4.084
2017-09-27,CTD1,6.165
2017-09-27,CTD10,6.186
2017-09-27,CTD11,4.247
2017-09-27,CTD12,5.923
2017-09-27,CTD2,6.111
2017-09-27,CTD3,3.161
2017-09-27,CTD4,2.077
2017-09-27,CTD6,3.952
2017-09-27,CTD7,1.796
2017-09-27,CTD8,3.027
2017-10-04,CTD1,4.073
2017-10-04,CTD10,1.291
2017-10-04,CTD11,2.899
2017-10-04,CTD12,3.714
2017-10-04,CTD2,4.758
2017-10-04,CTD3,4.805
2017-10-04,CTD4,2.519
2017-10-04,CTD6,2.726
2017-10-04,CTD7,2.67
2017-10-04,CTD8,2.782
2017-10-11,CTD1,4.906
2017-10-11,CTD10,4.881
2017-10-11,CTD11,4.378
2017-10-11,CTD12,4.672
2017-10-11,CTD2,5.041
2017-10-11,CTD3,4.278
2017-10-11,CTD4,1.849
2017-10-11,CTD6,2.14
2017-10-11,CTD7,2.612
2017-10-11,CTD8,3.467
2017-10-17,CTD1,5.774
2017-10-17,CTD10,1.866
2017-10-17,CTD11,4.113
2017-10-17,CTD12,2.711
2017-10-17,CTD2,7.073
2017-10-17,CTD3,6.45
2017-10-17,CTD4,3.729
2017-10-17,CTD6,3.533
2017-10-17,CTD7,3.216
2017-10-17,CTD8,2.336
