Date,Buoy,Chl
2017-05-19,CTD1,0.376
2017-05-19,CTD10,0.347
2017-05-19,CTD11,0.328
2017-05-19,CTD12,0.34
2017-05-19,CTD2,1.007
2017-05-19,CTD3,0.18
2017-05-19,CTD4,0.351
2017-05-19,CTD6,0.403
2017-05-19,CTD7,0.363
2017-05-19,CTD8,0.327
2017-05-19,CTD9,0.163
2017-05-24,CTD1,0.445
2017-05-24,CTD10,0.329
2017-05-24,CTD11,0.154
2017-05-24,CTD12,0.356
2017-05-24,CTD2,0.507
2017-05-24,CTD3,0.625
2017-05-24,CTD4,0.158
2017-05-24,CTD6,0.45
2017-05-24,CTD7,0.655
2017-05-24,CTD8,0.433
2017-05-24,CTD9,0.159
2017-06-02,CTD1,0.691
2017-06-02,CTD10,0.424
2017-06-02,CTD11,0.44
2017-06-02,CTD12,0.6
2017-06-02,CTD2,1.215
2017-06-02,CTD3,0.112
2017-06-02,CTD4,0.295
2017-06-02,CTD6,0.601
2017-06-02,CTD7,0.733
2017-06-02,CTD8,0.37
2017-06-02,CTD9,0.168
2017-06-06,CTD1,0.353
2017-06-06,CTD10,0.696
2017-06-06,CTD11,0.657
2017-06-06,CTD12,0.388
2017-06-06,CTD2,1.038
2017-06-06,CTD3,0.389
2017-06-06,CTD4,0.361
2017-06-06,CTD6,0.417
2017-06-06,CTD7,0.419
2017-06-06,CTD8,0.489
2017-06-06,CTD9,0.124
2017-06-13,CTD1,0.474
2017-06-13,CTD10,0.774
2017-06-13,CTD11,0.304
2017-06-13,CTD12,0.715
2017-06-13,CTD2,0.615
2017-06-13,CTD3,0.719
2017-06-13,CTD4,0.429
2017-06-13,CTD6,0.386
2017-06-13,CTD7,0.819
2017-06-13,CTD8,0.489
2017-06-13,CTD9,0.172
2017-06-21,CTD1,0.636
2017-06-21,CTD10,0.218
2017-06-21,CTD11,0.304
2017-06-21,CTD12,0.425
2017-06-21,CTD2,0.605
2017-06-21,CTD3,0.628
2017-06-21,CTD4,0.648
2017-06-21,CTD6,0.33
2017-06-21,CTD7,0.13
2017-06-21,CTD8,0.385
2017-06-21,CTD9,0.097
2017-06-30,CTD1,0.549
2017-06-30,CTD10,0.4
2017-06-30,CTD11,0.536
2017-06-30,CTD12,0.383
2017-06-30,CTD2,0.441
2017-06-30,CTD3,0.617
2017-06-30,CTD4,0.629
2017-06-30,CTD6,0.269
2017-06-30,CTD7,0.967
2017-06-30,CTD8,0.447
2017-06-30,CTD9,0.115
2017-07-05,CTD1,0.312
2017-07-05,CTD10,0.503
2017-07-05,CTD11,0.614
2017-07-05,CTD12,0.714
2017-07-05,CTD2,1.163
2017-07-05,CTD3,0.753
2017-07-05,CTD4,0.549
2017-07-05,CTD6,0.675
2017-07-05,CTD7,1.224
2017-07-05,CTD8,0.552
2017-07-05,CTD9,0.115
2017-07-12,CTD1,0.33
2017-07-12,CTD10,1.304
2017-07-12,CTD11,1.936
2017-07-12,CTD12,0.942
2017-07-12,CTD2,0.832
2017-07-12,CTD3,0.945
2017-07-12,CTD4,0.42
2017-07-12,CTD6,0.997
2017-07-12,CTD7,0.888
2017-07-12,CTD8,0.8
2017-07-12,CTD9,0.313
2017-07-19,CTD1,0.683
2017-07-19,CTD10,1.179
2017-07-19,CTD11,1.185
2017-07-19,CTD12,0.367
2017-07-19,CTD2,1.601
2017-07-19,CTD3,0.885
2017-07-19,CTD4,0.321
2017-07-19,CTD6,0.938
2017-07-19,CTD7,0.182
2017-07-19,CTD8,0.242
2017-07-19,CTD9,0.209
2017-07-26,CTD1,0.358
2017-07-26,CTD10,0.44
2017-07-26,CTD11,0.636
2017-07-26,CTD12,0.889
2017-07-26,CTD2,0.148
2017-07-26,CTD3,0.603
2017-07-26,CTD4,0.7
2017-07-26,CTD6,0.964
2017-07-26,CTD7,1.69
2017-07-26,CTD8,0.928
2017-07-26,CTD9,0.136
2017-08-30,CTD1,2.615
2017-08-30,CTD10,4.108
2017-08-30,CTD11,4.175
2017-08-30,CTD12,4.218
2017-08-30,CTD2,3.72
2017-08-30,CTD3,2.943
2017-08-30,CTD4,2.972
2017-08-30,CTD6,2.881
2017-08-30,CTD7,0.265
2017-08-30,CTD8,2.717
2017-08-30,CTD9,0.19
2017-09-06,CTD1,0.146
2017-09-06,CTD10,0.112
2017-09-06,CTD11,0.196
2017-09-06,CTD12,0.519
2017-09-06,CTD2,0.211
2017-09-06,CTD3,0.235
2017-09-06,CTD4,0.489
2017-09-06,CTD6,3.39
2017-09-06,CTD7,0.209
2017-09-06,CTD8,0.616
2017-09-06,CTD9,0.199
2017-09-11,CTD1,0.945
2017-09-11,CTD10,1.873
2017-09-11,CTD11,2.584
2017-09-11,CTD12,3.181
2017-09-11,CTD2,1.369
2017-09-11,CTD3,1.234
2017-09-11,CTD4,0.928
2017-09-11,CTD6,2.849
2017-09-11,CTD7,1.257
2017-09-11,CTD8,2.125
2017-09-11,CTD9,0.203
2017-09-27,CTD1,3.169
2017-09-27,CTD10,3.237
2017-09-27,CTD11,2.222
2017-09-27,CTD12,3.063
2017-09-27,CTD2,3.137
2017-09-27,CTD3,1.664
2017-09-27,CTD4,1.123
2017-09-27,CTD6,2.061
2017-09-27,CTD7,0.955
2017-09-27,CTD8,1.591
2017-09-27,CTD9,0.224
2017-10-04,CTD1,2.109
2017-10-04,CTD10,0.721
2017-10-04,CTD11,1.544
2017-10-04,CTD12,1.939
2017-10-04,CTD2,2.463
2017-10-04,CTD3,2.482
2017-10-04,CTD4,1.334
2017-10-04,CTD6,1.445
2017-10-04,CTD7,1.42
2017-10-04,CTD8,1.478
2017-10-04,CTD9,0.156
2017-10-11,CTD1,2.547
2017-10-11,CTD10,3.231
2017-10-11,CTD11,2.318
2017-10-11,CTD12,2.585
2017-10-11,CTD2,2.521
2017-10-11,CTD3,2.139
2017-10-11,CTD4,0.925
2017-10-11,CTD6,1.07
2017-10-11,CTD7,1.427
2017-10-11,CTD8,2.28
2017-10-11,CTD9,3.861
2017-10-17,CTD1,3.07
2017-10-17,CTD10,1.028
2017-10-17,CTD11,2.125
2017-10-17,CTD12,1.459
2017-10-17,CTD2,3.639
2017-10-17,CTD3,3.319
2017-10-17,CTD4,1.97
2017-10-17,CTD6,1.864
2017-10-17,CTD7,1.721
2017-10-17,CTD8,1.275
2017-10-17,CTD9,0.289
2017-10-25,CTD1,0.532
2017-10-25,CTD10,1.236
2017-10-25,CTD11,1.503
2017-10-25,CTD12,2.057
2017-10-25,CTD2,2.236
2017-10-25,CTD3,1.903
2017-10-25,CTD4,0.408
2017-10-25,CTD6,0.442
2017-10-25,CTD7,0.177
2017-10-25,CTD8,1.075
2017-10-25,CTD9,0.253
2017-11-03,CTD1,1.871
2017-11-03,CTD10,1.583
2017-11-03,CTD11,2.171
2017-11-03,CTD12,1.816
2017-11-03,CTD2,2.947
2017-11-03,CTD3,3.007
2017-11-03,CTD4,2.522
2017-11-03,CTD6,2.113
2017-11-03,CTD7,1.55
2017-11-03,CTD8,2.587
2017-11-03,CTD9,0.318
2017-11-08,CTD1,1.93
2017-11-08,CTD10,1.649
2017-11-08,CTD11,1.612
2017-11-08,CTD12,2.339
2017-11-08,CTD2,2.513
2017-11-08,CTD3,1.393
2017-11-08,CTD4,0.841
2017-11-08,CTD6,2.25
2017-11-08,CTD7,1.529
2017-11-08,CTD8,1.82
2017-11-08,CTD9,0.162
2017-11-15,CTD1,2.445
2017-11-15,CTD10,1.571
2017-11-15,CTD11,1.404
2017-11-15,CTD12,1.896
2017-11-15,CTD2,2.647
2017-11-15,CTD3,2.491
2017-11-15,CTD4,0.316
2017-11-15,CTD6,1.662
2017-11-15,CTD7,1.743
2017-11-15,CTD8,1.386
2017-11-15,CTD9,0.321
2017-11-22,CTD1,0.564
2017-11-22,CTD10,1.096
2017-11-22,CTD11,0.973
2017-11-22,CTD12,0.987
2017-11-22,CTD2,1.476
2017-11-22,CTD3,1.246
2017-11-22,CTD4,0.166
2017-11-22,CTD6,1.154
2017-11-22,CTD7,1.706
2017-11-22,CTD8,1.296
2017-11-22,CTD9,0.21
2017-11-28,CTD1,0.931
2017-11-28,CTD10,1.25
2017-11-28,CTD11,0.961
2017-11-28,CTD12,1.251
2017-11-28,CTD2,1.858
2017-11-28,CTD3,1.964
2017-11-28,CTD4,0.317
2017-11-28,CTD6,1.151
2017-11-28,CTD7,1.411
2017-11-28,CTD8,1.253
2017-11-28,CTD9,0.176
2017-12-05,CTD1,0.151
2017-12-05,CTD10,0.179
2017-12-05,CTD11,0.19
2017-12-05,CTD12,0.176
2017-12-05,CTD2,0.184
2017-12-05,CTD3,0.17
2017-12-05,CTD4,0.161
2017-12-05,CTD6,0.177
2017-12-05,CTD7,0.184
2017-12-05,CTD8,0.217
2017-12-05,CTD9,0.185
2017-12-13,CTD1,0.782
2017-12-13,CTD10,0.783
2017-12-13,CTD11,0.724
2017-12-13,CTD12,0.189
2017-12-13,CTD2,0.833
2017-12-13,CTD3,0.201
2017-12-13,CTD4,0.287
2017-12-13,CTD6,0.185
2017-12-13,CTD7,0.911
2017-12-13,CTD8,0.615
2017-12-13,CTD9,0.183
2017-12-18,CTD1,0.748
2017-12-18,CTD10,0.573
2017-12-18,CTD11,0.636
2017-12-18,CTD12,0.651
2017-12-18,CTD2,1.663
2017-12-18,CTD3,1.369
2017-12-18,CTD4,1.23
2017-12-18,CTD6,0.609
2017-12-18,CTD7,0.54
2017-12-18,CTD8,0.569
2017-12-18,CTD9,0.167
2017-12-26,CTD1,0.458
2017-12-26,CTD10,0.864
2017-12-26,CTD11,0.549
2017-12-26,CTD12,0.999
2017-12-26,CTD2,1.13
2017-12-26,CTD3,0.722
2017-12-26,CTD4,0.382
2017-12-26,CTD6,0.975
2017-12-26,CTD7,0.841
2017-12-26,CTD8,0.986
2017-12-26,CTD9,0.962
2018-01-02,CTD1,2.144
2018-01-02,CTD10,2.035
2018-01-02,CTD11,0.488
2018-01-02,CTD12,2.435
2018-01-02,CTD2,1.428
2018-01-02,CTD3,0.208
2018-01-02,CTD4,0.721
2018-01-02,CTD6,2.464
2018-01-02,CTD7,1.414
2018-01-02,CTD8,1.712
2018-01-02,CTD9,0.194
2018-01-09,CTD1,1.385
2018-01-09,CTD10,0.884
2018-01-09,CTD11,0.412
2018-01-09,CTD12,1.431
2018-01-09,CTD2,1.996
2018-01-09,CTD3,0.735
2018-01-09,CTD4,0.686
2018-01-09,CTD6,0.167
2018-01-09,CTD7,0.87
2018-01-09,CTD8,0.923
2018-01-09,CTD9,0.175
2018-01-17,CTD1,0.478
2018-01-17,CTD10,1.348
2018-01-17,CTD11,1.076
2018-01-17,CTD12,1.516
2018-01-17,CTD2,1.17
2018-01-17,CTD3,0.975
2018-01-17,CTD4,0.807
2018-01-17,CTD6,0.855
2018-01-17,CTD7,0.874
2018-01-17,CTD8,0.998
2018-01-17,CTD9,0.206
2018-01-24,CTD1,0.392
2018-01-24,CTD10,0.182
2018-01-24,CTD11,0.407
2018-01-24,CTD12,1.39
2018-01-24,CTD2,1.794
2018-01-24,CTD3,0.554
2018-01-24,CTD4,0.385
2018-01-24,CTD6,1.496
2018-01-24,CTD7,0.588
2018-01-24,CTD8,0.636
2018-01-24,CTD9,0.159
2018-01-31,CTD1,2.008
2018-01-31,CTD10,1.838
2018-01-31,CTD11,1.839
2018-01-31,CTD12,1.432
2018-01-31,CTD2,1.522
2018-01-31,CTD3,0.864
2018-01-31,CTD4,0.904
2018-01-31,CTD6,1.027
2018-01-31,CTD7,0.402
2018-01-31,CTD8,1.245
2018-01-31,CTD9,0.161
2018-02-12,CTD1,2.619
2018-02-12,CTD10,1.145
2018-02-12,CTD11,1.769
2018-02-12,CTD12,1.707
2018-02-12,CTD2,2.646
2018-02-12,CTD3,1.534
2018-02-12,CTD4,0.832
2018-02-12,CTD6,2.585
2018-02-12,CTD7,2.312
2018-02-12,CTD8,2.134
2018-02-12,CTD9,0.148
2018-02-20,CTD1,1.596
2018-02-20,CTD10,1.855
2018-02-20,CTD11,1.797
