Date,Buoy,Chl,Turbidez
2016-08-09,CTD5,0.21,0.12
2016-08-25,CTD5,0.44,1.06
2016-08-30,CTD5,1.67,0.44
2016-09-06,CTD5,,
2016-09-08,CTD5,0.94,0.04
2016-09-22,CTD5,0.56,0.97
2016-09-29,CTD5,0.46,3.39
2016-10-06,CTD5,0.88,1.83
2016-10-14,CTD5,3.5,1.45
2016-10-21,CTD5,1.24,0.45
2016-10-28,CTD5,2.05,1.62
2016-11-03,CTD5,3.65,0.57
2016-11-11,CTD5,1.16,0.45
2016-11-18,CTD5,1.95,3.48
2016-11-22,CTD5,1.33,0.49
2016-12-02,CTD5,1.35,2.57
2016-12-13,CTD5,2.56,0.73
2016-12-21,CTD5,0.53,5.05
2017-01-12,CTD5,4.78,10.12
2017-01-26,CTD5,4.52,2.68
2017-02-03,CTD5,2.17,1.05
2017-02-10,CTD5,1.61,2.23
2017-02-16,CTD5,1.79,5.5
2017-02-24,CTD5,1.63,0.79
2017-03-02,CTD5,0.73,0.57
2017-03-22,CTD1,,3.169
2017-03-22,CTD10,,3.051
2017-03-22,CTD11,,1.57
2017-03-22,CTD12,,2.639
2017-03-22,CTD2,,2.144
2017-03-22,CTD3,,1.946
2017-03-22,CTD4,,1.671
2017-03-22,CTD5,2.28,0.43
2017-03-22,CTD6,,2.169
2017-03-22,CTD7,,3.089
2017-03-22,CTD8,,3.057
2017-03-22,CTD9,,4.166
2017-03-30,CTD1,,5.315
2017-03-30,CTD10,,2.991
2017-03-30,CTD11,,2.223
2017-03-30,CTD12,,2.819
2017-03-30,CTD2,,1.921
2017-03-30,CTD3,,1.7
2017-03-30,CTD4,,1.78
2017-03-30,CTD5,3.32,0.44
2017-03-30,CTD6,,2.279
2017-03-30,CTD7,,3.383
2017-03-30,CTD8,,2.44
2017-03-30,CTD9,,3.301
2017-04-05,CTD1,,3.139
2017-04-05,CTD10,,2.894
2017-04-05,CTD11,,0.916
2017-04-05,CTD12,,1.747
2017-04-05,CTD2,,2.135
2017-04-05,CTD3,,1.463
2017-04-05,CTD4,,1.289
2017-04-05,CTD5,2.47,0.22
2017-04-05,CTD6,,2.252
2017-04-05,CTD7,,4.904
2017-04-05,CTD8,,2.239
2017-04-05,CTD9,,1.534
2017-04-12,CTD1,,8.681
2017-04-12,CTD10,,2.557
2017-04-12,CTD11,,1.228
2017-04-12,CTD12,,2.595
2017-04-12,CTD2,,2.057
2017-04-12,CTD3,,1.76
2017-04-12,CTD4,,1.556
2017-04-12,CTD5,3.27,1.02
2017-04-12,CTD6,,2.549
2017-04-12,CTD7,,2.676
2017-04-12,CTD8,,2.441
2017-04-12,CTD9,,2.197
2017-04-18,CTD5,,
2017-04-25,CTD1,,1.701
2017-04-25,CTD10,,1.374
2017-04-25,CTD11,,1.355
2017-04-25,CTD12,,1.701
2017-04-25,CTD2,,1.748
2017-04-25,CTD3,,1.743
2017-04-25,CTD4,,1.671
2017-04-25,CTD5,2.91,1.16
2017-04-25,CTD6,,1.493
2017-04-25,CTD7,,2.769
2017-04-25,CTD8,,2.536
2017-04-25,CTD9,,3.754
2017-05-04,CTD1,,2.867
2017-05-04,CTD10,,1.228
2017-05-04,CTD11,,1.243
2017-05-04,CTD12,,1.416
2017-05-04,CTD2,,1.531
2017-05-04,CTD3,,1.24
2017-05-04,CTD4,,1.064
2017-05-04,CTD5,2.67,1.1
2017-05-04,CTD6,,1.382
2017-05-04,CTD7,,1.338
2017-05-04,CTD8,,1.942
2017-05-04,CTD9,,2.218
2017-05-10,CTD5,2.93,0.32
2017-05-19,CTD1,0.547,2.713
2017-05-19,CTD10,0.496,3.423
2017-05-19,CTD11,0.484,0.986
2017-05-19,CTD12,0.544,1.468
2017-05-19,CTD2,1.093,1.157
2017-05-19,CTD3,0.802,0.898
2017-05-19,CTD4,0.699,1.234
2017-05-19,CTD5,0.27,0.46
2017-05-19,CTD6,0.584,0.874
2017-05-19,CTD7,0.475,2.608
2017-05-19,CTD8,0.595,3.304
