Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33
2016-08-09,CTD1,4187246,695025,0.1167,0.0877,0.0707,0.0433,0.0364,0.026,0.0241,0.0208,0.019,0.0066,0.0005,0.0093,0.0074,0.010673251,0.016616538,0.032175384,0.01672369,0.012509271,0.003727043,0.003689656,0.0014509659,0.010611311,0.016747354,0.032279316,0.016334254,0.0130474055,0.0036168438,0.42456347,0.68754816,0.37683162,3.5478985,3.3754425,0.0
2016-08-09,CTD2,4181518,693105,0.1216,0.0935,0.0707,0.0489,0.0419,0.0343,0.033,0.0295,0.0283,0.0088,0.0007,0.0175,0.0144,0.007847778,0.01169832,0.021563038,0.011943749,0.008954178,0.0027222375,0.0026979453,0.0010744213,0.007852267,0.011743445,0.021630121,0.01173915,0.009364053,0.0026367733,0.32641804,0.7549579,0.28764984,2.5178177,2.502998,0.0
2016-08-09,CTD3,4181698,695238,0.1208,0.093,0.0697,0.0481,0.0413,0.0344,0.0328,0.0295,0.0282,0.0088,0.0006,0.0185,0.0148,0.007199968,0.010564647,0.019889023,0.011289472,0.008480647,0.0025925457,0.0025714156,0.0010274014,0.0072234743,0.010607729,0.019979842,0.01111007,0.008890014,0.0025137772,0.34522784,0.78540045,0.29022264,2.3642285,2.502998,0.0
2016-08-09,CTD4,4180266,698264,0.1239,0.0948,0.0712,0.0497,0.0439,0.0367,0.0349,0.0309,0.0309,0.009,0.0005,0.019,0.0141,0.008227398,0.011674324,0.02155027,0.012043291,0.009206305,0.0028024155,0.0027775664,0.0011109519,0.008218997,0.011725927,0.021536266,0.011855795,0.009622882,0.0027095722,0.37984014,0.7890927,0.2952628,2.6215134,2.6675718,0.0
2016-08-09,CTD5,4179450,700268,0.1242,0.0983,0.0747,0.0407,0.0348,0.0312,0.0295,0.027,0.0259,0.0081,0.0007,0.0168,0.0135,0.010802133,0.018177072,0.025004387,0.0046341233,0.0028705758,0.00077572005,0.0007522194,0.00030163772,0.010788617,0.018271346,0.02499055,0.0046027,0.0030879965,0.00076610834,0.106660984,0.09078804,0.23325372,1.4087706,0.2632533,0.0
2016-08-09,CTD6,4176009,695829,0.117,0.0879,0.0648,0.0413,0.0345,0.0281,0.0263,0.0235,0.0219,0.007,0.0006,0.0125,0.0096,0.007531235,0.011460239,0.021013314,0.010536937,0.0076151825,0.0022480006,0.0022155263,0.0008822723,0.0075378437,0.011500172,0.02103926,0.010421779,0.008003039,0.0021751877,0.30643952,0.61643225,0.3382955,2.3459811,1.777808,0.0
2016-08-09,CTD7,4176724,690397,0.1215,0.0938,0.0744,0.0511,0.0442,0.0349,0.0334,0.0299,0.0283,0.0087,0.0007,0.018,0.014,0.00945778,0.01424525,0.026968537,0.0151752,0.011553612,0.0035595007,0.0035150778,0.0013884287,0.009436011,0.01432191,0.027034933,0.0148464115,0.012062613,0.0034298815,0.3801644,0.81254244,0.3237317,3.2936811,3.3199544,0.0
2016-08-09,CTD8,4174178,693048,0.1183,0.0903,0.0713,0.0438,0.037,0.0292,0.0272,0.0243,0.0227,0.007,0.0005,0.0128,0.0098,0.009241544,0.0148564065,0.028911766,0.013404463,0.009629498,0.0027880655,0.0027528624,0.001088002,0.00920437,0.014945818,0.02896122,0.013166868,0.01008446,0.0026996378,0.3651383,0.5334435,0.4125256,2.5577419,2.5427773,0.0
2016-08-09,CTD9,4171106,693183,0.1233,0.098,0.0838,0.059,0.0505,0.0375,0.0362,0.0324,0.0311,0.0093,0.0006,0.0212,0.0166,0.012831106,0.019701988,0.03786806,0.021641055,0.01662304,0.005103598,0.005056198,0.0019767045,0.012742579,0.019897293,0.038030654,0.021048147,0.017326888,0.0049708774,0.54665077,0.8545751,0.44134864,5.855167,3.6106248,0.0
2016-08-09,CTD10,4170388,695646,0.1199,0.0927,0.0737,0.0485,0.041,0.0333,0.0321,0.0281,0.0268,0.0084,0.0006,0.0166,0.0135,0.008217592,0.013158761,0.026273571,0.013356354,0.009944657,0.0029837554,0.0029600274,0.0011729315,0.008189909,0.01322057,0.026349794,0.0130996015,0.010413002,0.0028925787,0.40387118,0.63695705,0.42834765,2.5200853,2.8898437,0.0
2016-08-09,CTD11,4169609,700351,0.1228,0.093,0.0726,0.0488,0.0425,0.0354,0.0349,0.0279,0.0309,0.0094,0.0005,0.0198,0.0166,0.008521291,0.012615775,0.021793954,0.011184398,0.008030243,0.0023978688,0.0023530156,0.00093232683,0.008517179,0.012669844,0.021771546,0.011044154,0.008418356,0.0022995486,0.26378825,0.6774207,0.26125053,2.5646372,1.8957158,0.0
2016-08-09,CTD12,4173438,695414,0.1193,0.0917,0.0712,0.0454,0.0386,0.0313,0.0293,0.0263,0.0251,0.0077,0.0006,0.0152,0.0124,0.0088686235,0.014116636,0.026258618,0.012387318,0.00894231,0.0026176726,0.0025791752,0.0010195383,0.008842373,0.014194704,0.026294636,0.012207384,0.009389058,0.0025287655,0.33520743,0.5564732,0.39649287,2.5246258,2.277969,0.0
2016-09-08,CTD1,4187246,695025,0.1221,0.092,0.0744,0.0492,0.0427,0.0347,0.0338,0.0287,0.029,0.0085,0.0007,0.0167,0.0124,0.007012682,0.011087905,0.023120686,0.01380224,0.01061913,0.003328834,0.0033326796,0.0013270621,0.007000544,0.011126456,0.023285594,0.0135151725,0.0111270035,0.003250637,0.45293224,0.8012987,0.44028875,2.2245307,4.2293243,0.0
2016-09-08,CTD2,4181518,693105,0.1193,0.0889,0.069,0.0437,0.0372,0.0303,0.029,0.0245,0.0245,0.0077,0.0007,0.0124,0.009,0.0065427655,0.0104271285,0.021000816,0.011236838,0.008319894,0.0025090044,0.0024920644,0.0009935636,0.006534932,0.010460656,0.021131296,0.01106147,0.008741294,0.0024417776,0.3966343,0.65863377,0.44657758,2.0282943,2.5382054,0.0
2016-09-08,CTD3,4181698,695238,0.1178,0.087,0.0661,0.041,0.0347,0.028,0.0263,0.0218,0.0218,0.0072,0.0005,0.0101,0.0073,0.00658079,0.0103127025,0.020597933,0.010758338,0.007957106,0.002403279,0.0023828258,0.0009536078,0.00658082,0.010343637,0.020693896,0.010618205,0.008366917,0.0023361817,0.38146356,0.6721544,0.40733632,2.0598013,2.4106846,0.0
2016-09-08,CTD4,4180266,698264,0.1196,0.0892,0.0669,0.0437,0.0373,0.031,0.0296,0.0253,0.0253,0.0077,0.0005,0.014,0.0106,0.0056859953,0.008909726,0.017695226,0.00986011,0.0074220337,0.0022814523,0.002267232,0.0009093145,0.0056934273,0.00892603,0.017843153,0.009727579,0.007812589,0.0022185002,0.40760997,0.7292758,0.37756103,1.8803004,2.3575034,0.0
2016-09-08,CTD5,4179450,700268,0.1238,0.0951,0.0714,0.0404,0.0352,0.0322,0.0306,0.0267,0.0269,0.0083,0.0006,0.016,0.012,0.006404425,0.010934778,0.017020727,0.0040258192,0.0025446448,0.0006873048,0.00066855503,0.00026818487,0.0063931323,0.010963322,0.016963061,0.0039845044,0.0027257185,0.0006740581,0.13095866,0.1450245,0.35159886,1.3400723,0.2226174,0.0
2016-09-08,CTD6,4176009,695829,0.1168,0.0862,0.0644,0.04,0.0336,0.0271,0.0252,0.0211,0.0209,0.0072,0.0005,0.0095,0.0069,0.006344032,0.009886698,0.019276254,0.010185848,0.0076256,0.0022996417,0.0022803193,0.0009110947,0.00635036,0.009914101,0.019372394,0.010050548,0.008022293,0.0022336654,0.37451822,0.6553402,0.4007499,2.031142,2.1905131,0.0
2016-09-08,CTD7,4176724,690397,0.1202,0.0893,0.0703,0.0444,0.0377,0.0306,0.0295,0.0243,0.0245,0.0074,0.0006,0.0117,0.0084,0.006340154,0.0103188595,0.021448338,0.011587843,0.008739556,0.002662629,0.0026518872,0.0010634147,0.0063310033,0.010346785,0.021583151,0.01138394,0.009184353,0.0025961862,0.43751103,0.6719157,0.4738923,1.9407467,3.0175114,0.0
2016-09-08,CTD8,4174178,693048,0.1192,0.0892,0.07,0.0452,0.0386,0.0305,0.0288,0.0243,0.0241,0.0078,0.0005,0.012,0.0087,0.0076707467,0.012010561,0.023756266,0.013412494,0.010152607,0.003114762,0.003091925,0.0012326557,0.0076581747,0.01206252,0.02388434,0.013158941,0.010611325,0.0030219415,0.3896558,0.7652823,0.37921926,2.4339678,3.515087,0.0
