Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33
2016-08-09,CTD1,4187246,695025,0.1166,0.0873,0.0713,0.0425,0.0373,0.0259,0.024,0.0213,0.0194,0.0065,0.0005,0.0089,0.0075,0.00548488,0.014068826,0.038568657,0.018638626,0.018126449,0.005038069,0.0049259397,0.0018441271,0.0054107076,0.014162022,0.03925518,0.019008828,0.016972704,0.0054074237,0.50532585,0.28079587,4.2255616,8.884806,2.651616,-0.0
2016-08-09,CTD2,4181518,693105,0.1218,0.0929,0.0692,0.0473,0.0417,0.0341,0.0324,0.0278,0.0278,0.0088,0.0007,0.0182,0.0145,0.007742479,0.012539335,0.02057884,0.010966365,0.010584949,0.003443368,0.0033984997,0.0013566196,0.0077155055,0.012348487,0.020635728,0.011002682,0.0101308925,0.0034576727,0.53482944,0.645566,1.2422347,6.193629,2.8108797,-0.0
2016-08-09,CTD3,4181698,695238,0.1208,0.0923,0.0692,0.0474,0.0416,0.034,0.0333,0.0294,0.0293,0.0088,0.0007,0.0188,0.0145,0.013700734,0.01917735,0.028220039,0.012217348,0.0123006515,0.0037960047,0.0037253227,0.0014636529,0.013448065,0.018851347,0.028354988,0.01217747,0.011191441,0.0038103536,0.64484555,0.4537075,0.52450174,6.884939,2.775124,-0.0
2016-08-09,CTD4,4180266,698264,0.1283,0.0901,0.066,0.0422,0.042,0.0314,0.0309,0.0277,0.0273,0.0107,0.0005,0.0195,0.0145,0.0040911026,0.006785014,0.015658265,0.009603352,0.0144297965,0.005026113,0.005055509,0.0019813834,0.0041302927,0.006492031,0.016038617,0.010661883,0.012685243,0.0053100353,1.9443634,0.37213835,2.9092863,7.345666,5.168782,-0.0
2016-08-09,CTD5,4179450,700268,0.1245,0.0989,0.0729,0.0379,0.0339,0.032,0.0293,0.028,0.0263,0.0082,0.0007,0.0167,0.0137,0.006887885,0.014554088,0.015317905,0.0018822977,0.0011069719,0.00028002332,0.0002693766,0.000105653155,0.0067816353,0.014882068,0.0154176755,0.0018338141,0.0011361127,0.00027351413,0.02235193,0.0050037187,0.20877033,0.58185804,0.19389,-2.87e-42
2016-08-09,CTD6,4176009,695829,0.1171,0.0884,0.0658,0.0413,0.0349,0.028,0.0262,0.0243,0.0223,0.0067,0.0006,0.0129,0.0096,0.007210639,0.013782662,0.024519771,0.009232115,0.007959064,0.0023268962,0.0022867022,0.000907675,0.0071628513,0.013674915,0.024637235,0.009277159,0.007686844,0.0023546845,0.30368656,0.25937736,1.0854731,3.692813,1.8325034,-0.0
2016-08-09,CTD7,4176724,690397,0.1219,0.0958,0.075,0.0522,0.0456,0.0357,0.0364,0.0315,0.0308,0.0088,0.0007,0.0199,0.0155,0.01777906,0.026177911,0.04268131,0.01965066,0.019480065,0.0059345476,0.0057872445,0.0022389037,0.017369527,0.025868105,0.04330116,0.019877417,0.018144837,0.005959615,0.6927377,0.4522221,0.7238563,9.353531,4.3237915,-0.0
2016-08-09,CTD8,4174178,693048,0.1178,0.0893,0.0706,0.0414,0.0333,0.0248,0.0238,0.0221,0.0195,0.0069,0.0005,0.01,0.0081,0.012984775,0.022541858,0.039593555,0.0155253755,0.0137127405,0.0039096368,0.0038120437,0.0014751791,0.012749432,0.02235528,0.03988272,0.0155733125,0.013011256,0.003912055,0.42793238,0.26955107,0.9265545,6.480836,2.6927745,-0.0
2016-08-09,CTD9,4171106,693183,0.123,0.0966,0.0838,0.0565,0.049,0.0373,0.0354,0.0302,0.0315,0.0093,0.0005,0.0215,0.0168,0.0035206291,0.012621457,0.045291834,0.02219395,0.018030316,0.004520993,0.0043694563,0.0016078596,0.0034723182,0.0134501215,0.045935716,0.021515785,0.017419849,0.005007605,0.02432288,0.26955107,8.322546,6.8565073,1.2536483,-0.0
2016-08-09,CTD10,4170388,695646,0.1199,0.0915,0.0745,0.0488,0.0402,0.0324,0.0326,0.0281,0.0266,0.0084,0.0006,0.0167,0.0131,0.012511696,0.020498855,0.03679708,0.018572835,0.017491495,0.0052627916,0.0051411605,0.0019936734,0.012316268,0.020298984,0.037178066,0.018702812,0.016661331,0.005308367,0.5875995,0.46905667,1.1637894,8.412368,3.8216813,-0.0
2016-08-09,CTD11,4169609,700351,0.1245,0.0924,0.0732,0.0491,0.0401,0.0323,0.0318,0.0273,0.0287,0.0093,0.0005,0.0185,0.0147,0.005541958,0.0131924,0.033155058,0.014334279,0.014070129,0.0038181085,0.00374545,0.0014058381,0.0054814043,0.013162714,0.033654135,0.014755674,0.0129391765,0.004062297,0.53581643,0.18368284,3.0207045,7.0286746,1.6929313,-0.0
2016-08-09,CTD12,4173438,695414,0.1192,0.0916,0.0733,0.0462,0.0387,0.0309,0.0297,0.0263,0.0256,0.0077,0.0005,0.0151,0.0121,0.009684341,0.019127056,0.03607479,0.012677302,0.010512082,0.002897272,0.0028239845,0.0010946572,0.009537111,0.019064521,0.036208637,0.012728461,0.010140864,0.0029157563,0.31559712,0.18507491,1.0954889,4.9248834,1.9107314,-0.0
2016-09-08,CTD1,4187246,695025,0.1222,0.0914,0.074,0.0501,0.0442,0.0353,0.0343,0.0281,0.0293,0.0086,0.0007,0.017,0.0124,0.003181232,0.010131392,0.034762554,0.020108024,0.017737297,0.004910323,0.0047717467,0.0017849209,0.0031559775,0.010559577,0.035929263,0.019909084,0.017219648,0.0053871735,0.196403,0.39800176,8.693042,7.2556577,2.1904867,-0.0
2016-09-08,CTD2,4181518,693105,0.1193,0.0897,0.069,0.0441,0.0371,0.0301,0.0287,0.0241,0.0246,0.0079,0.0007,0.0125,0.0086,0.004886458,0.0110733835,0.024496019,0.010899341,0.009379546,0.002710612,0.002655605,0.0010318822,0.0048465636,0.011086315,0.024854759,0.011006134,0.0091352705,0.002779965,0.30567616,0.34367058,2.3668509,4.8798957,1.8614719,-0.0
2016-09-08,CTD3,4181698,695238,0.1182,0.0868,0.0658,0.0404,0.0343,0.0284,0.0249,0.0226,0.0221,0.0072,0.0005,0.0097,0.007,0.0006692186,0.0019136698,0.00643525,0.003139336,0.0019657393,0.0005101925,0.0004884427,0.00019770909,0.00072511076,0.0019630268,0.006344336,0.0030301842,0.0020047592,0.0004935273,5.814471e-05,0.17015705,4.2207427,0.7678283,0.3353455,-0.0
2016-09-08,CTD4,4180266,698264,0.1196,0.0907,0.0686,0.0456,0.0378,0.0302,0.0305,0.0254,0.0252,0.0075,0.0005,0.0146,0.011,0.014109802,0.021108048,0.033775456,0.017183837,0.016654443,0.005272768,0.00515845,0.0020267975,0.01383275,0.020852132,0.034064226,0.017235637,0.015786631,0.005253517,0.6027563,0.61111224,0.85782474,8.475692,4.313075,-0.0
2016-09-08,CTD5,4179450,700268,0.1238,0.0954,0.0724,0.0413,0.0353,0.0324,0.0309,0.0269,0.0265,0.0081,0.0006,0.0165,0.012,0.0043287305,0.010235538,0.016724935,0.0033379095,0.0020369973,0.0005302483,0.00051472755,0.00020366881,0.004297314,0.010447951,0.016735673,0.0032829794,0.0021349732,0.00052086415,0.0035721518,0.052511916,0.61958915,0.85386467,0.459278,-0.0
2016-09-08,CTD6,4176009,695829,0.1162,0.086,0.0642,0.04,0.0333,0.0272,0.025,0.0216,0.0208,0.0073,0.0007,0.0094,0.0072,0.0027033964,0.00832467,0.024599077,0.0090183765,0.006421532,0.001651989,0.0015925759,0.0006170214,0.0026824595,0.0086830435,0.024960322,0.008931153,0.006451502,0.0016969646,0.0027906308,0.1966394,3.578704,2.954937,0.83412796,-0.0
