Date,Buoy,Latitude,Longitude,Band_2,Band_3,Band_4,Band_5
2018-02-20,CTD1,4187246,695025,242.0,420.0,422.0,395.0
2018-02-20,CTD2,4181518,693105,233.0,421.0,399.0,429.0
2018-02-20,CTD3,4181698,695238,125.0,356.0,343.0,345.0
2018-02-20,CTD4,4180266,698264,97.0,294.0,284.0,311.0
2018-02-20,CTD5,4179450,700268,127.0,367.0,220.0,275.0
2018-02-20,CTD6,4176009,695829,65.0,275.0,287.0,329.0
2018-02-20,CTD7,4176724,690397,278.0,496.0,458.0,501.0
2018-02-20,CTD8,4174178,693048,245.0,452.0,397.0,361.0
2018-02-20,CTD9,4171106,693183,342.0,613.0,605.0,367.0
2018-02-20,CTD10,4170388,695646,197.0,422.0,385.0,329.0
2018-02-20,CTD11,4169609,700351,214.0,416.0,376.0,319.0
2018-02-20,CTD12,4173438,695414,101.0,350.0,320.0,296.0
