Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_0_1,0.053 ± 0.023,0.557 ± 0.014,0.226 ± 0.015,0.012 ± 0.001,0.110 ± 0.045,0.536 ± 0.027,0.328 ± 0.091,0.145 ± 0.034,0.373 ± 0.016,0.097 ± 0.056
C2X-Complex_rhow_15x15_depth_in_0_1,0.066 ± 0.039,0.450 ± 0.014,0.202 ± 0.013,0.012 ± 0.001,0.121 ± 0.044,0.465 ± 0.025,0.307 ± 0.053,0.164 ± 0.050,0.284 ± 0.012,0.088 ± 0.058
C2RCC_rhow_5x5_depth_in_0_1,0.089 ± 0.041,0.449 ± 0.011,0.208 ± 0.011,0.012 ± 0.001,0.142 ± 0.041,0.463 ± 0.012,0.315 ± 0.054,0.188 ± 0.042,0.301 ± 0.010,0.095 ± 0.046
C2RCC_rhown_5x5_depth_in_0_1,0.084 ± 0.042,0.450 ± 0.011,0.207 ± 0.012,0.012 ± 0.001,0.142 ± 0.041,0.459 ± 0.016,0.304 ± 0.046,0.177 ± 0.046,0.300 ± 0.010,0.108 ± 0.045
C2X-Complex_rhow_9x9_depth_in_0_1,0.085 ± 0.045,0.449 ± 0.014,0.211 ± 0.013,0.012 ± 0.001,0.141 ± 0.049,0.467 ± 0.017,0.324 ± 0.063,0.176 ± 0.044,0.280 ± 0.011,0.103 ± 0.050
C2X-Complex_rhow_5x5_depth_in_0_1,0.069 ± 0.040,0.470 ± 0.020,0.217 ± 0.014,0.012 ± 0.001,0.147 ± 0.046,0.491 ± 0.016,0.311 ± 0.059,0.179 ± 0.054,0.272 ± 0.010,0.122 ± 0.074
C2X-Complex_rhown_15x15_depth_in_0_1,0.074 ± 0.044,0.449 ± 0.014,0.217 ± 0.013,0.012 ± 0.001,0.147 ± 0.039,0.472 ± 0.024,0.320 ± 0.046,0.189 ± 0.044,0.286 ± 0.010,0.140 ± 0.059
C2X-Complex_rhown_9x9_depth_in_0_1,0.073 ± 0.046,0.452 ± 0.014,0.220 ± 0.013,0.012 ± 0.001,0.148 ± 0.043,0.477 ± 0.019,0.332 ± 0.058,0.194 ± 0.053,0.286 ± 0.012,0.119 ± 0.059
C2RCC_rhow_15x15_depth_in_0_1,0.104 ± 0.047,0.466 ± 0.011,0.237 ± 0.014,0.012 ± 0.001,0.165 ± 0.039,0.494 ± 0.015,0.340 ± 0.068,0.201 ± 0.050,0.331 ± 0.011,0.149 ± 0.052
C2RCC_rhow_9x9_depth_in_0_1,0.099 ± 0.051,0.467 ± 0.012,0.231 ± 0.015,0.012 ± 0.001,0.156 ± 0.046,0.470 ± 0.015,0.352 ± 0.065,0.194 ± 0.051,0.323 ± 0.011,0.129 ± 0.058
