Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
C2X-Complex_rhow_15x15_depth_in_1_2,0.207 ± 0.123,2.121 ± 0.111,0.900 ± 0.081,0.010 ± 0.002,0.366 ± 0.146,2.151 ± 0.255,1.676 ± 0.375,0.754 ± 0.269,1.564 ± 0.117,0.323 ± 0.253
C2X-Complex_rhow_9x9_depth_in_1_2,0.314 ± 0.204,2.160 ± 0.110,0.949 ± 0.087,0.010 ± 0.002,0.405 ± 0.139,2.172 ± 0.185,1.901 ± 0.456,0.781 ± 0.241,1.519 ± 0.124,0.366 ± 0.255
C2X-Complex_rhow_5x5_depth_in_1_2,0.220 ± 0.162,2.322 ± 0.198,0.954 ± 0.096,0.010 ± 0.002,0.401 ± 0.166,2.403 ± 0.199,1.814 ± 0.452,0.761 ± 0.332,1.423 ± 0.154,0.317 ± 0.466
C2RCC_rhown_3x3_depth_in_1_2,0.304 ± 0.162,2.360 ± 0.099,1.028 ± 0.106,0.010 ± 0.002,0.505 ± 0.168,2.370 ± 0.264,1.628 ± 0.289,0.963 ± 0.326,1.690 ± 0.138,0.638 ± 0.621
C2X-Complex_rhow_3x3_depth_in_1_2,0.355 ± 0.177,2.219 ± 0.164,1.022 ± 0.114,0.010 ± 0.002,0.426 ± 0.152,2.318 ± 0.222,1.818 ± 0.376,0.913 ± 0.418,1.634 ± 0.163,0.610 ± 0.657
C2X-Complex_rhown_5x5_depth_in_1_2,0.219 ± 0.164,2.347 ± 0.142,0.983 ± 0.102,0.010 ± 0.002,0.416 ± 0.156,2.376 ± 0.230,1.723 ± 0.362,0.808 ± 0.339,1.571 ± 0.196,0.471 ± 0.625
C2X-Complex_rhown_3x3_depth_in_1_2,0.163 ± 0.124,2.320 ± 0.140,1.018 ± 0.095,0.010 ± 0.002,0.393 ± 0.152,2.410 ± 0.173,1.759 ± 0.374,0.843 ± 0.404,1.778 ± 0.171,0.510 ± 0.690
C2X-Complex_rhown_9x9_depth_in_1_2,0.208 ± 0.154,2.189 ± 0.097,0.942 ± 0.083,0.010 ± 0.002,0.452 ± 0.110,2.153 ± 0.216,1.673 ± 0.412,0.904 ± 0.276,1.523 ± 0.128,0.461 ± 0.375
C2X_rhow_5x5_depth_in_1_2,0.389 ± 0.184,2.140 ± 0.106,1.064 ± 0.109,0.040 ± 0.006,0.510 ± 0.128,2.003 ± 0.234,1.972 ± 0.390,0.952 ± 0.328,1.759 ± 0.151,0.910 ± 0.763
C2X_rhow_3x3_depth_in_1_2,0.446 ± 0.201,2.128 ± 0.094,1.154 ± 0.119,0.040 ± 0.006,0.522 ± 0.136,2.145 ± 0.201,2.067 ± 0.353,1.157 ± 0.316,1.959 ± 0.176,1.006 ± 0.780
