,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_9x9_depth_in_2_3,0.64 ± 0.09,0.44 ± 0.09,0.63 ± 0.11,0.69 ± 0.08,0.58 ± 0.14,0.37 ± 0.16,0.53 ± 0.19,0.57 ± 0.09,0.48 ± 0.04,0.59 ± 0.11
TOA_15x15_depth_in_2_3,0.65 ± 0.09,0.46 ± 0.07,0.66 ± 0.11,0.66 ± 0.10,0.50 ± 0.29,0.41 ± 0.13,0.50 ± 0.21,0.53 ± 0.09,0.48 ± 0.05,0.50 ± 0.20
C2X-Complex_rhown_5x5_depth_in_2_3,0.54 ± 0.26,0.49 ± 0.23,0.52 ± 0.29,0.60 ± 0.13,0.46 ± 0.26,0.22 ± 0.65,0.52 ± 0.22,0.50 ± 0.27,0.65 ± 0.07,0.51 ± 0.25
C2X-Complex_rhown_9x9_depth_in_2_3,0.49 ± 0.24,0.46 ± 0.24,0.49 ± 0.24,0.57 ± 0.15,0.47 ± 0.28,0.26 ± 0.65,0.49 ± 0.20,0.51 ± 0.23,0.64 ± 0.10,0.51 ± 0.23
TOA_5x5_depth_in_2_3,0.60 ± 0.10,0.47 ± 0.08,0.63 ± 0.12,0.60 ± 0.14,0.59 ± 0.12,0.43 ± 0.13,0.61 ± 0.07,0.46 ± 0.18,0.48 ± 0.06,0.57 ± 0.13
C2RCC_rhown_5x5_depth_in_2_3,0.60 ± 0.19,0.58 ± 0.13,0.53 ± 0.19,0.60 ± 0.20,0.59 ± 0.18,0.52 ± 0.18,0.63 ± 0.10,0.58 ± 0.19,0.61 ± 0.09,0.60 ± 0.15
C2X-Complex_rhow_5x5_depth_in_2_3,0.54 ± 0.24,0.48 ± 0.24,0.47 ± 0.40,0.60 ± 0.13,0.46 ± 0.31,0.20 ± 0.70,0.57 ± 0.12,0.51 ± 0.23,0.62 ± 0.12,0.51 ± 0.28
C2RCC_rhow_3x3_depth_in_2_3,0.55 ± 0.22,0.50 ± 0.17,0.55 ± 0.15,0.55 ± 0.21,0.45 ± 0.26,0.38 ± 0.22,0.57 ± 0.14,0.51 ± 0.26,0.62 ± 0.07,0.46 ± 0.30
TOA_3x3_depth_in_2_3,0.57 ± 0.12,0.46 ± 0.09,0.60 ± 0.14,0.58 ± 0.16,0.55 ± 0.11,0.37 ± 0.13,0.61 ± 0.10,0.50 ± 0.15,0.46 ± 0.06,0.53 ± 0.19
C2X_rhow_9x9_depth_in_2_3,0.54 ± 0.22,0.52 ± 0.25,0.48 ± 0.30,0.56 ± 0.14,0.44 ± 0.22,0.35 ± 0.39,0.60 ± 0.10,0.54 ± 0.16,0.51 ± 0.25,0.47 ± 0.28
