,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_9x9_depth_in_2_3,2.05 ± 0.47,2.52 ± 0.29,2.08 ± 0.56,1.92 ± 0.48,2.16 ± 0.32,2.67 ± 0.37,2.32 ± 0.76,2.23 ± 0.41,2.46 ± 0.37,2.16 ± 0.45
TOA_15x15_depth_in_2_3,2.01 ± 0.46,2.49 ± 0.34,1.96 ± 0.49,1.98 ± 0.40,2.29 ± 0.62,2.60 ± 0.46,2.41 ± 0.73,2.31 ± 0.31,2.46 ± 0.35,2.35 ± 0.43
C2X-Complex_rhown_5x5_depth_in_2_3,2.24 ± 0.51,2.36 ± 0.37,2.26 ± 0.47,2.14 ± 0.31,2.44 ± 0.45,2.75 ± 0.77,2.29 ± 0.38,2.33 ± 0.47,2.02 ± 0.33,2.31 ± 0.48
C2X-Complex_rhown_9x9_depth_in_2_3,2.35 ± 0.40,2.42 ± 0.36,2.36 ± 0.39,2.20 ± 0.30,2.40 ± 0.48,2.68 ± 0.84,2.37 ± 0.43,2.33 ± 0.48,2.02 ± 0.34,2.33 ± 0.47
TOA_5x5_depth_in_2_3,2.14 ± 0.43,2.46 ± 0.25,2.05 ± 0.47,2.16 ± 0.52,2.16 ± 0.36,2.55 ± 0.28,2.11 ± 0.29,2.46 ± 0.39,2.46 ± 0.28,2.22 ± 0.47
C2RCC_rhown_5x5_depth_in_2_3,2.09 ± 0.45,2.18 ± 0.19,2.28 ± 0.44,2.07 ± 0.43,2.13 ± 0.38,2.29 ± 0.19,2.06 ± 0.35,2.14 ± 0.39,2.12 ± 0.16,2.11 ± 0.42
C2X-Complex_rhow_5x5_depth_in_2_3,2.24 ± 0.42,2.38 ± 0.39,2.32 ± 0.67,2.14 ± 0.34,2.39 ± 0.49,2.79 ± 0.83,2.21 ± 0.29,2.33 ± 0.40,2.09 ± 0.38,2.29 ± 0.48
C2RCC_rhow_3x3_depth_in_2_3,2.19 ± 0.37,2.37 ± 0.24,2.23 ± 0.16,2.21 ± 0.38,2.43 ± 0.39,2.62 ± 0.29,2.20 ± 0.33,2.27 ± 0.39,2.10 ± 0.16,2.39 ± 0.43
TOA_3x3_depth_in_2_3,2.23 ± 0.47,2.48 ± 0.27,2.12 ± 0.48,2.20 ± 0.51,2.27 ± 0.35,2.68 ± 0.29,2.13 ± 0.48,2.36 ± 0.37,2.49 ± 0.27,2.28 ± 0.45
C2X_rhow_9x9_depth_in_2_3,2.25 ± 0.47,2.28 ± 0.39,2.32 ± 0.41,2.21 ± 0.22,2.51 ± 0.46,2.62 ± 0.54,2.15 ± 0.30,2.28 ± 0.35,2.30 ± 0.47,2.40 ± 0.49
