Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_3_4,0.997 ± 0.003,0.499 ± 0.026,0.899 ± 0.022,1.000 ± 0.000,0.972 ± 0.023,0.545 ± 0.105,0.729 ± 0.143,0.919 ± 0.045,0.664 ± 0.043,0.879 ± 0.138
TOA_9x9_depth_in_3_4,0.998 ± 0.002,0.494 ± 0.039,0.899 ± 0.019,1.000 ± 0.000,0.972 ± 0.023,0.576 ± 0.103,0.706 ± 0.128,0.937 ± 0.035,0.666 ± 0.039,0.874 ± 0.138
TOA_5x5_depth_in_3_4,0.996 ± 0.004,0.511 ± 0.035,0.898 ± 0.022,1.000 ± 0.000,0.964 ± 0.024,0.595 ± 0.095,0.710 ± 0.134,0.911 ± 0.069,0.662 ± 0.041,0.879 ± 0.136
TOA_3x3_depth_in_3_4,0.996 ± 0.007,0.497 ± 0.040,0.888 ± 0.025,1.000 ± 0.000,0.962 ± 0.026,0.559 ± 0.113,0.679 ± 0.153,0.911 ± 0.061,0.659 ± 0.038,0.859 ± 0.141
TOA_1x1_depth_in_3_4,0.996 ± 0.004,0.482 ± 0.038,0.880 ± 0.024,1.000 ± 0.000,0.951 ± 0.024,0.554 ± 0.109,0.665 ± 0.133,0.881 ± 0.069,0.660 ± 0.039,0.843 ± 0.146
C2X-Complex_rhow_9x9_depth_in_3_4,0.968 ± 0.034,0.513 ± 0.035,0.849 ± 0.027,1.000 ± 0.000,0.961 ± 0.018,0.491 ± 0.022,0.596 ± 0.096,0.834 ± 0.077,0.669 ± 0.038,0.817 ± 0.164
C2X-Complex_rhow_15x15_depth_in_3_4,0.980 ± 0.027,0.529 ± 0.038,0.860 ± 0.026,1.000 ± 0.000,0.964 ± 0.019,0.498 ± 0.046,0.637 ± 0.099,0.848 ± 0.073,0.662 ± 0.031,0.830 ± 0.176
C2X-Complex_rhown_9x9_depth_in_3_4,0.977 ± 0.032,0.493 ± 0.032,0.836 ± 0.031,1.000 ± 0.000,0.956 ± 0.017,0.477 ± 0.045,0.587 ± 0.112,0.786 ± 0.080,0.649 ± 0.043,0.755 ± 0.181
C2X-Complex_rhow_5x5_depth_in_3_4,0.974 ± 0.030,0.485 ± 0.040,0.839 ± 0.035,1.000 ± 0.000,0.963 ± 0.020,0.495 ± 0.054,0.588 ± 0.136,0.816 ± 0.095,0.637 ± 0.055,0.730 ± 0.180
C2X-Complex_rhown_5x5_depth_in_3_4,0.968 ± 0.030,0.477 ± 0.028,0.824 ± 0.033,1.000 ± 0.000,0.954 ± 0.017,0.470 ± 0.042,0.594 ± 0.128,0.791 ± 0.097,0.611 ± 0.053,0.690 ± 0.157
